Sig Name	G1, 1
Format	Mag	Scaling	EUrms
Chan	1
Chan Name	I1
Point	0 -Z
Ref Point	0 -Z

Hz	in/s
              0	              0
            0.5	  1.998118e-005
              1	  4.468168e-007
            1.5	  2.133023e-007
              2	   1.39375e-007
            2.5	    1.1987e-007
              3	  9.011362e-008
            3.5	  6.414161e-008
              4	  4.844494e-008
            4.5	  4.159706e-008
              5	  4.254862e-008
            5.5	  3.766477e-008
              6	  3.190169e-008
            6.5	  2.138897e-008
              7	  2.148289e-008
            7.5	  1.863632e-008
              8	  1.759154e-008
            8.5	  1.669332e-008
              9	  1.638855e-008
            9.5	  1.642979e-008
             10	  1.425481e-008
           10.5	  1.476754e-008
             11	  1.241682e-008
           11.5	  9.767509e-009
             12	  9.232797e-009
           12.5	   9.54977e-009
             13	  9.042497e-009
           13.5	  9.031114e-009
             14	  9.056436e-009
           14.5	  8.085831e-009
             15	  7.519392e-009
           15.5	  6.940393e-009
             16	  7.145372e-009
           16.5	  7.046834e-009
             17	  6.208212e-009
           17.5	  6.007611e-009
             18	  5.535609e-009
           18.5	  5.884792e-009
             19	  5.699111e-009
           19.5	  4.858614e-009
             20	  4.930315e-009
           20.5	  4.969266e-009
             21	  4.692455e-009
           21.5	  4.411385e-009
             22	  3.983716e-009
           22.5	  3.860566e-009
             23	  4.287223e-009
           23.5	  4.364826e-009
             24	  4.371889e-009
           24.5	  3.862795e-009
             25	  3.722577e-009
           25.5	   3.66887e-009
             26	  3.964939e-009
           26.5	  3.890048e-009
             27	  3.454951e-009
           27.5	  3.115506e-009
             28	  2.855061e-009
           28.5	  2.475401e-009
             29	  2.844797e-009
           29.5	  2.448162e-009
             30	  2.438016e-009
           30.5	  2.768449e-009
             31	  2.518215e-009
           31.5	  2.354969e-009
             32	  2.308683e-009
           32.5	  2.211206e-009
             33	  2.010305e-009
           33.5	  2.209844e-009
             34	  2.157647e-009
           34.5	  1.996898e-009
             35	  2.142501e-009
           35.5	  2.097913e-009
             36	  2.029561e-009
           36.5	  2.104242e-009
             37	   2.02043e-009
           37.5	  1.754492e-009
             38	  1.893069e-009
           38.5	  2.249838e-009
             39	  2.077286e-009
           39.5	   1.89121e-009
             40	   1.87043e-009
           40.5	  1.933524e-009
             41	  1.640002e-009
           41.5	  1.485699e-009
             42	  1.601622e-009
           42.5	  1.690463e-009
             43	  1.455915e-009
           43.5	  1.624141e-009
             44	  1.733603e-009
           44.5	  1.471622e-009
             45	  1.418099e-009
           45.5	  1.330773e-009
             46	   1.33408e-009
           46.5	  1.571466e-009
             47	  1.483854e-009
           47.5	  1.370765e-009
             48	  1.503893e-009
           48.5	  1.532408e-009
             49	  1.404029e-009
           49.5	  1.256665e-009
             50	  1.484712e-009
           50.5	  1.516677e-009
             51	   1.10748e-009
           51.5	  1.132783e-009
             52	  1.200172e-009
           52.5	  1.215125e-009
             53	  1.051663e-009
           53.5	  9.656478e-010
             54	  9.929496e-010
           54.5	   1.17027e-009
             55	  1.119307e-009
           55.5	  1.064607e-009
             56	  1.261277e-009
           56.5	  1.246098e-009
             57	  9.693709e-010
           57.5	  8.703703e-010
             58	  9.496991e-010
           58.5	  9.955106e-010
             59	  1.067106e-009
           59.5	  3.312019e-009
             60	  6.323266e-009
           60.5	  3.246398e-009
             61	   1.06976e-009
           61.5	  8.443483e-010
             62	  8.801176e-010
           62.5	  9.485367e-010
             63	  9.483277e-010
           63.5	  1.008838e-009
             64	  9.430886e-010
           64.5	  9.389399e-010
             65	  9.497347e-010
           65.5	  8.981589e-010
             66	   9.63813e-010
           66.5	  9.838866e-010
             67	  9.596649e-010
           67.5	   8.65666e-010
             68	  7.048872e-010
           68.5	  6.858463e-010
             69	  6.973134e-010
           69.5	  7.676433e-010
             70	  8.595478e-010
           70.5	  7.701517e-010
             71	  7.205351e-010
           71.5	  7.828507e-010
             72	  7.502218e-010
           72.5	  8.347108e-010
             73	  8.455686e-010
           73.5	   7.35895e-010
             74	  6.439327e-010
           74.5	  7.241566e-010
             75	  7.494899e-010
           75.5	  6.725242e-010
             76	  6.226964e-010
           76.5	  7.330167e-010
             77	  6.960522e-010
           77.5	  7.558987e-010
             78	  6.972591e-010
           78.5	  5.563695e-010
             79	  6.512175e-010
           79.5	  7.213438e-010
             80	  7.077132e-010
           80.5	  6.308051e-010
             81	  6.334347e-010
           81.5	    7.5551e-010
             82	  6.800925e-010
           82.5	   5.97241e-010
             83	  6.112063e-010
           83.5	  6.458243e-010
             84	  7.001832e-010
           84.5	  6.266931e-010
             85	   5.72892e-010
           85.5	  6.120627e-010
             86	  6.330508e-010
           86.5	  6.095333e-010
             87	   5.29254e-010
           87.5	  5.608193e-010
             88	  5.536518e-010
           88.5	  5.644699e-010
             89	   7.17694e-010
           89.5	  7.138268e-010
             90	  7.100931e-010
           90.5	  7.088099e-010
             91	  6.134486e-010
           91.5	  5.006512e-010
             92	  5.566047e-010
           92.5	  5.694937e-010
             93	  5.596175e-010
           93.5	  6.141297e-010
             94	   5.70662e-010
           94.5	  5.482459e-010
             95	  5.195791e-010
           95.5	  4.874302e-010
             96	  4.915053e-010
           96.5	  4.464139e-010
             97	   4.75262e-010
           97.5	  4.956023e-010
             98	  5.332533e-010
           98.5	  5.094282e-010
             99	  4.940366e-010
           99.5	  5.212428e-010
            100	  5.618581e-010
          100.5	  5.153105e-010
            101	  5.160898e-010
          101.5	   4.57661e-010
            102	  4.512742e-010
          102.5	  4.611692e-010
            103	  4.939278e-010
          103.5	  4.942576e-010
            104	  4.972907e-010
          104.5	   4.84951e-010
            105	  4.975961e-010
          105.5	  4.991252e-010
            106	  4.522462e-010
          106.5	   5.08944e-010
            107	  4.805391e-010
          107.5	    4.4032e-010
            108	  4.370575e-010
          108.5	   4.15677e-010
            109	  5.054974e-010
          109.5	  5.066365e-010
            110	  4.432975e-010
          110.5	  4.739746e-010
            111	   4.58385e-010
          111.5	  4.429981e-010
            112	  4.329303e-010
          112.5	  3.651501e-010
            113	  3.723231e-010
          113.5	  4.291761e-010
            114	  4.424997e-010
          114.5	  3.979969e-010
            115	  4.364953e-010
          115.5	  3.888575e-010
            116	  3.921306e-010
          116.5	  4.234458e-010
            117	  4.021579e-010
          117.5	  4.192457e-010
            118	  4.940781e-010
          118.5	  4.201195e-010
            119	  3.629797e-010
