Sig Name	G1, 1
Format	Mag	Scaling	EUrms
Chan	1
Chan Name	I1

Hz	in/s
              0	              0
            0.5	   3.55749e-005
              1	  4.874021e-007
            1.5	  2.529513e-007
              2	  1.443639e-007
            2.5	  1.058082e-007
              3	  7.928487e-008
            3.5	   6.76358e-008
              4	  5.507556e-008
            4.5	  3.905337e-008
              5	  3.366955e-008
            5.5	  3.049777e-008
              6	  2.910459e-008
            6.5	  2.476198e-008
              7	  2.231329e-008
            7.5	  2.066845e-008
              8	   1.75398e-008
            8.5	  1.806527e-008
              9	  1.656024e-008
            9.5	  1.326403e-008
             10	  1.414902e-008
           10.5	  1.451976e-008
             11	  1.160057e-008
           11.5	  1.093134e-008
             12	  1.018122e-008
           12.5	  9.627322e-009
             13	  9.931451e-009
           13.5	  8.823617e-009
             14	  7.723925e-009
           14.5	  6.871954e-009
             15	  7.101213e-009
           15.5	  7.112327e-009
             16	  7.082531e-009
           16.5	  6.606004e-009
             17	  6.165754e-009
           17.5	  5.572795e-009
             18	  5.149653e-009
           18.5	  5.103672e-009
             19	  5.603667e-009
           19.5	  5.891688e-009
             20	  5.603267e-009
           20.5	  5.561028e-009
             21	  5.775099e-009
           21.5	     4.891e-009
             22	  4.866237e-009
           22.5	  4.669924e-009
             23	  3.757392e-009
           23.5	  3.676339e-009
             24	  3.367877e-009
           24.5	  3.013736e-009
             25	  3.346148e-009
           25.5	  3.159017e-009
             26	  3.358381e-009
           26.5	  3.236185e-009
             27	  2.799543e-009
           27.5	  2.892211e-009
             28	  3.102941e-009
           28.5	  3.390741e-009
             29	  3.162512e-009
           29.5	  2.461564e-009
             30	  2.825619e-009
           30.5	  2.620955e-009
             31	  2.784365e-009
           31.5	  2.639415e-009
             32	  2.767596e-009
           32.5	  2.864742e-009
             33	  2.768532e-009
           33.5	  2.589984e-009
             34	  2.459448e-009
           34.5	  2.389127e-009
             35	  2.461438e-009
           35.5	  2.357406e-009
             36	   2.19914e-009
           36.5	  2.140292e-009
             37	  2.061895e-009
           37.5	   1.94796e-009
             38	  1.904083e-009
           38.5	   1.82493e-009
             39	  1.824196e-009
           39.5	  1.767969e-009
             40	  1.846796e-009
           40.5	  1.742913e-009
             41	  1.838526e-009
           41.5	  1.770859e-009
             42	    1.5974e-009
           42.5	  1.549762e-009
             43	  1.400752e-009
           43.5	  1.395357e-009
             44	  1.350482e-009
           44.5	  1.430449e-009
             45	  1.537517e-009
           45.5	  1.790207e-009
             46	  1.774401e-009
           46.5	  1.675298e-009
             47	  1.358556e-009
           47.5	  1.295358e-009
             48	     1.426e-009
           48.5	  1.400595e-009
             49	  1.320245e-009
           49.5	  1.229159e-009
             50	  1.372467e-009
           50.5	  1.461442e-009
             51	  1.378953e-009
           51.5	   1.36622e-009
             52	  1.201597e-009
           52.5	  1.237942e-009
             53	  1.071353e-009
           53.5	  1.032597e-009
             54	   1.08547e-009
           54.5	  1.010887e-009
             55	  1.138227e-009
           55.5	   1.18879e-009
             56	   1.20339e-009
           56.5	  1.110487e-009
             57	  1.195699e-009
           57.5	  1.187308e-009
             58	  1.055263e-009
           58.5	  1.056314e-009
             59	  1.094854e-009
           59.5	  1.306246e-009
             60	  1.841528e-009
           60.5	  1.235387e-009
             61	  8.917236e-010
           61.5	  8.949056e-010
             62	  9.065923e-010
           62.5	  9.471248e-010
             63	  9.873002e-010
           63.5	   9.68466e-010
             64	  8.175758e-010
           64.5	  8.494312e-010
             65	   8.53505e-010
           65.5	  7.346457e-010
             66	  7.448139e-010
           66.5	  7.441808e-010
             67	  7.996572e-010
           67.5	  7.993439e-010
             68	  8.132631e-010
           68.5	  8.643255e-010
             69	  9.278086e-010
           69.5	  8.345594e-010
             70	  8.059259e-010
           70.5	  8.190992e-010
             71	  7.405753e-010
           71.5	   7.03202e-010
             72	  7.771628e-010
           72.5	  7.957724e-010
             73	  7.237895e-010
           73.5	  7.628621e-010
             74	  6.960714e-010
           74.5	  7.064866e-010
             75	  6.878981e-010
           75.5	  5.527818e-010
             76	  5.949095e-010
           76.5	  7.351907e-010
             77	  7.599103e-010
           77.5	  6.542863e-010
             78	  6.710313e-010
           78.5	  6.949504e-010
             79	  7.501839e-010
           79.5	  6.398335e-010
             80	  6.567506e-010
           80.5	   5.98577e-010
             81	  5.495451e-010
           81.5	  6.410718e-010
             82	  6.138823e-010
           82.5	  6.138086e-010
             83	  6.246457e-010
           83.5	  5.605945e-010
             84	  5.648092e-010
           84.5	  5.319069e-010
             85	  5.513353e-010
           85.5	  5.356091e-010
             86	  5.737568e-010
           86.5	  5.354949e-010
             87	  5.537629e-010
           87.5	  5.792462e-010
             88	  5.570824e-010
           88.5	  5.588769e-010
             89	  4.487569e-010
           89.5	  5.344294e-010
             90	  6.262122e-010
           90.5	  6.711887e-010
             91	   5.94375e-010
           91.5	  5.478192e-010
             92	  5.167275e-010
           92.5	  5.127675e-010
             93	  5.069005e-010
           93.5	  5.047026e-010
             94	  5.584935e-010
           94.5	  5.877193e-010
             95	  6.097901e-010
           95.5	  6.077706e-010
             96	  5.853194e-010
           96.5	   4.76542e-010
             97	  4.387075e-010
           97.5	  4.985192e-010
             98	  5.255442e-010
           98.5	  4.640513e-010
             99	  4.206007e-010
           99.5	  4.773014e-010
            100	  5.765629e-010
          100.5	  5.546852e-010
            101	  4.971367e-010
          101.5	  4.333915e-010
            102	  4.506696e-010
          102.5	  4.890154e-010
            103	  4.985931e-010
          103.5	  4.699839e-010
            104	  4.174541e-010
          104.5	  4.611803e-010
            105	  4.476617e-010
          105.5	   4.72096e-010
            106	  4.595837e-010
          106.5	  4.802666e-010
            107	  5.043682e-010
          107.5	  5.377394e-010
            108	  5.096669e-010
          108.5	  5.130182e-010
            109	  4.683953e-010
          109.5	  4.481165e-010
            110	  4.143428e-010
          110.5	  4.459251e-010
            111	  4.547114e-010
          111.5	  3.960758e-010
            112	  4.625544e-010
          112.5	  4.593596e-010
            113	  3.319276e-010
          113.5	  4.326295e-010
            114	  4.452502e-010
          114.5	  3.581965e-010
            115	  3.273718e-010
          115.5	  3.595548e-010
            116	  3.493568e-010
          116.5	  3.947088e-010
            117	   3.88387e-010
          117.5	  3.363361e-010
            118	  3.556549e-010
          118.5	  3.614986e-010
            119	  3.597436e-010
          119.5	  4.223213e-010
            120	  4.196329e-010
