Sig Name	G1, 1
Format	Mag	Scaling	EUrms
Chan	1
Chan Name	I1

Hz	in/s
              0	              0
            0.5	  3.120985e-005
              1	  5.036783e-007
            1.5	   2.09466e-007
              2	  1.496008e-007
            2.5	  1.211811e-007
              3	  9.533169e-008
            3.5	  6.520521e-008
              4	  5.723457e-008
            4.5	  4.673491e-008
              5	  4.319853e-008
            5.5	  3.663513e-008
              6	  2.580275e-008
            6.5	  2.224123e-008
              7	  2.212932e-008
            7.5	  2.161438e-008
              8	  2.042842e-008
            8.5	  1.677681e-008
              9	  1.507082e-008
            9.5	  1.459758e-008
             10	  1.439711e-008
           10.5	  1.184529e-008
             11	  1.110266e-008
           11.5	  1.157291e-008
             12	  9.706254e-009
           12.5	  8.995634e-009
             13	  8.929756e-009
           13.5	  9.140951e-009
             14	  9.098538e-009
           14.5	  7.228892e-009
             15	   6.76581e-009
           15.5	  6.871492e-009
             16	  6.623223e-009
           16.5	  6.199201e-009
             17	  5.961673e-009
           17.5	  5.671415e-009
             18	  5.622554e-009
           18.5	  5.841331e-009
             19	  5.964128e-009
           19.5	   5.50942e-009
             20	  4.951568e-009
           20.5	  4.552791e-009
             21	  4.674293e-009
           21.5	  4.219378e-009
             22	  4.083049e-009
           22.5	  4.644421e-009
             23	  4.520786e-009
           23.5	  3.890162e-009
             24	  3.522407e-009
           24.5	  3.752518e-009
             25	  3.990934e-009
           25.5	  3.831116e-009
             26	  3.747727e-009
           26.5	  3.391514e-009
             27	   3.23854e-009
           27.5	  3.594948e-009
             28	  3.459314e-009
           28.5	   3.13423e-009
             29	  3.111845e-009
           29.5	  3.474041e-009
             30	  3.504892e-009
           30.5	  3.075205e-009
             31	  2.809569e-009
           31.5	  2.731932e-009
             32	  2.495125e-009
           32.5	  2.276936e-009
             33	  2.332669e-009
           33.5	   2.44391e-009
             34	   2.18317e-009
           34.5	  2.113174e-009
             35	  2.217416e-009
           35.5	  2.324304e-009
             36	  1.951184e-009
           36.5	  2.036258e-009
             37	  2.013148e-009
           37.5	   2.27221e-009
             38	  2.098457e-009
           38.5	   1.86644e-009
             39	  1.840059e-009
           39.5	  1.727292e-009
             40	  1.682754e-009
           40.5	  1.821474e-009
             41	  1.591642e-009
           41.5	  1.821656e-009
             42	  1.872889e-009
           42.5	  1.643128e-009
             43	  1.601997e-009
           43.5	  1.661262e-009
             44	  1.789657e-009
           44.5	  1.706898e-009
             45	  1.717454e-009
           45.5	  1.508629e-009
             46	  1.481942e-009
           46.5	   1.65424e-009
             47	   1.36292e-009
           47.5	  1.316755e-009
             48	  1.295445e-009
           48.5	  1.274721e-009
             49	  1.346078e-009
           49.5	  1.303555e-009
             50	  1.519157e-009
           50.5	  1.397013e-009
             51	  1.316959e-009
           51.5	  1.294558e-009
             52	  1.196057e-009
           52.5	  1.105363e-009
             53	  1.096991e-009
           53.5	  1.227331e-009
             54	  1.127899e-009
           54.5	  1.063597e-009
             55	  1.134949e-009
           55.5	  1.257745e-009
             56	  1.082997e-009
           56.5	  1.030704e-009
             57	  9.917808e-010
           57.5	   1.05336e-009
             58	  1.080927e-009
           58.5	  1.191005e-009
             59	  9.546862e-010
           59.5	  9.857521e-010
             60	  9.412112e-010
           60.5	   1.04073e-009
             61	  9.250693e-010
           61.5	  8.449764e-010
             62	  8.178462e-010
           62.5	  9.040735e-010
             63	  8.921492e-010
           63.5	  9.454573e-010
             64	  9.623086e-010
           64.5	  1.023159e-009
             65	  9.147739e-010
           65.5	  8.442823e-010
             66	  9.026576e-010
           66.5	  8.801284e-010
             67	  7.695461e-010
           67.5	  7.486031e-010
             68	  7.297474e-010
           68.5	  8.747926e-010
             69	  8.865647e-010
           69.5	  7.944403e-010
             70	  7.897051e-010
           70.5	  7.827722e-010
             71	  8.672423e-010
           71.5	  8.412702e-010
             72	  8.416325e-010
           72.5	   8.49142e-010
             73	  7.887841e-010
           73.5	  8.196741e-010
             74	  7.407549e-010
           74.5	   7.29542e-010
             75	  7.715632e-010
           75.5	  6.799949e-010
             76	  6.382461e-010
           76.5	  7.436391e-010
             77	  7.379963e-010
           77.5	  7.033739e-010
             78	  6.707073e-010
           78.5	  6.078602e-010
             79	  6.384502e-010
           79.5	  7.044608e-010
             80	  6.674727e-010
           80.5	  6.787045e-010
             81	  7.003421e-010
           81.5	  7.652797e-010
             82	  6.989782e-010
           82.5	  6.747686e-010
             83	  5.641266e-010
           83.5	  5.791421e-010
             84	  6.105378e-010
           84.5	  5.431946e-010
             85	  6.115073e-010
           85.5	  6.530943e-010
             86	  7.113103e-010
           86.5	  6.728103e-010
             87	  6.006281e-010
           87.5	  6.107519e-010
             88	  5.763802e-010
           88.5	  5.943674e-010
             89	   6.20088e-010
           89.5	  6.106852e-010
             90	  5.515028e-010
           90.5	  5.045646e-010
             91	  6.071279e-010
           91.5	  5.938819e-010
             92	  5.036875e-010
           92.5	  4.882295e-010
             93	   5.22775e-010
           93.5	  6.065223e-010
             94	  6.016104e-010
           94.5	  6.560756e-010
             95	  6.767992e-010
           95.5	   5.87643e-010
             96	  5.257468e-010
           96.5	  4.925946e-010
             97	  4.752473e-010
           97.5	  4.884677e-010
             98	  5.174209e-010
           98.5	  5.444494e-010
             99	  5.510786e-010
           99.5	  5.258237e-010
            100	  5.453315e-010
          100.5	   5.11604e-010
            101	  4.555688e-010
          101.5	  5.438137e-010
            102	  5.093919e-010
          102.5	    5.5941e-010
            103	  6.507881e-010
          103.5	  7.423289e-010
            104	  6.399989e-010
          104.5	  5.642338e-010
            105	   6.49159e-010
          105.5	  6.376275e-010
            106	  6.627398e-010
          106.5	   7.48006e-010
            107	  8.565356e-010
          107.5	  8.232824e-010
            108	  8.090157e-010
          108.5	  8.295478e-010
            109	  8.206906e-010
          109.5	  9.185253e-010
            110	  9.041598e-010
          110.5	  7.507311e-010
            111	  7.320561e-010
          111.5	  7.715829e-010
            112	  8.238106e-010
          112.5	  8.753431e-010
            113	  8.688023e-010
          113.5	  9.368937e-010
            114	  8.554851e-010
          114.5	  8.669847e-010
            115	   8.15451e-010
          115.5	  7.753685e-010
            116	  7.443852e-010
          116.5	  6.986481e-010
            117	   6.19725e-010
          117.5	  6.676069e-010
            118	  6.333413e-010
          118.5	  5.901279e-010
            119	  6.762985e-010
          119.5	   5.90326e-010
