Sig Name	G1, 1
Format	Mag	Scaling	EUrms
Chan	1
Chan Name	I1

Hz	in/s
              0	              0
            0.5	   2.35449e-005
              1	  4.002472e-007
            1.5	  2.281093e-007
              2	   1.63849e-007
            2.5	  1.286242e-007
              3	   7.84738e-008
            3.5	   5.73974e-008
              4	  5.248583e-008
            4.5	  4.774946e-008
              5	  4.014434e-008
            5.5	  3.407271e-008
              6	  3.166348e-008
            6.5	  2.673629e-008
              7	   2.28856e-008
            7.5	  2.150277e-008
              8	  1.849033e-008
            8.5	  1.609782e-008
              9	  1.569801e-008
            9.5	  1.718083e-008
             10	  1.230603e-008
           10.5	  1.070559e-008
             11	  1.241003e-008
           11.5	  1.128781e-008
             12	   9.46784e-009
           12.5	  9.683124e-009
             13	  9.514702e-009
           13.5	  9.308994e-009
             14	  8.493874e-009
           14.5	  7.532834e-009
             15	  7.029186e-009
           15.5	   6.97397e-009
             16	  7.168971e-009
           16.5	  6.246593e-009
             17	  6.848583e-009
           17.5	  7.136436e-009
             18	  5.967495e-009
           18.5	  5.251353e-009
             19	  4.607466e-009
           19.5	   3.95909e-009
             20	  4.129605e-009
           20.5	  4.888159e-009
             21	  5.188618e-009
           21.5	  4.807294e-009
             22	  3.880706e-009
           22.5	  3.787409e-009
             23	   4.07147e-009
           23.5	  3.996266e-009
             24	  4.272512e-009
           24.5	   4.36223e-009
             25	  4.276982e-009
           25.5	  3.554041e-009
             26	  3.166302e-009
           26.5	   2.95447e-009
             27	  3.080523e-009
           27.5	  3.205657e-009
             28	  3.399808e-009
           28.5	  3.163711e-009
             29	  2.754446e-009
           29.5	  2.244538e-009
             30	  2.186222e-009
           30.5	  2.385414e-009
             31	   2.80658e-009
           31.5	  2.856567e-009
             32	   2.67024e-009
           32.5	  2.363582e-009
             33	  2.358196e-009
           33.5	  2.457667e-009
             34	  2.268972e-009
           34.5	  2.350793e-009
             35	  2.428929e-009
           35.5	  2.070818e-009
             36	  2.212974e-009
           36.5	  2.292228e-009
             37	  2.230359e-009
           37.5	  2.113969e-009
             38	  2.126648e-009
           38.5	  2.075213e-009
             39	  2.196519e-009
           39.5	  2.211875e-009
             40	  1.932341e-009
           40.5	  2.001609e-009
             41	  1.807616e-009
           41.5	  1.794456e-009
             42	  1.709732e-009
           42.5	  1.639299e-009
             43	  1.552139e-009
           43.5	  1.629669e-009
             44	  1.695692e-009
           44.5	  1.589929e-009
             45	  1.402301e-009
           45.5	  1.362564e-009
             46	  1.414557e-009
           46.5	  1.441563e-009
             47	  1.574647e-009
           47.5	  1.447569e-009
             48	  1.385124e-009
           48.5	  1.446506e-009
             49	  1.490853e-009
           49.5	   1.30214e-009
             50	  1.457489e-009
           50.5	  1.306158e-009
             51	  1.364732e-009
           51.5	   1.07477e-009
             52	  9.892132e-010
           52.5	  1.171632e-009
             53	  1.154779e-009
           53.5	  1.173995e-009
             54	   1.22805e-009
           54.5	  1.076553e-009
             55	   1.09745e-009
           55.5	  1.176785e-009
             56	  1.210939e-009
           56.5	  1.013265e-009
             57	  1.022576e-009
           57.5	   1.00817e-009
             58	  1.093426e-009
           58.5	   1.10058e-009
             59	  1.080482e-009
           59.5	  1.574235e-009
             60	  2.401154e-009
           60.5	  1.521303e-009
             61	  1.065588e-009
           61.5	  9.897575e-010
             62	  9.483175e-010
           62.5	  9.258329e-010
             63	  8.702732e-010
           63.5	   1.02583e-009
             64	  9.117562e-010
           64.5	  8.575146e-010
             65	  8.152434e-010
           65.5	  9.144202e-010
             66	  8.566823e-010
           66.5	   7.33878e-010
             67	  8.580134e-010
           67.5	  8.152449e-010
             68	   7.97939e-010
           68.5	  6.772231e-010
             69	  7.151519e-010
           69.5	  8.944493e-010
             70	  8.924778e-010
           70.5	  9.604444e-010
             71	  8.792158e-010
           71.5	  7.895296e-010
             72	  7.330788e-010
           72.5	  6.990156e-010
             73	  7.223789e-010
           73.5	  6.945942e-010
             74	  6.539466e-010
           74.5	  7.387178e-010
             75	  8.030788e-010
           75.5	  7.475863e-010
             76	   7.48702e-010
           76.5	  6.893812e-010
             77	  7.153164e-010
           77.5	  7.086307e-010
             78	  5.920605e-010
           78.5	  6.462546e-010
             79	  7.232225e-010
           79.5	  7.524116e-010
             80	   7.40771e-010
           80.5	  7.187285e-010
             81	  7.010993e-010
           81.5	  7.261268e-010
             82	  7.114342e-010
           82.5	  6.714405e-010
             83	  5.889219e-010
           83.5	  6.015926e-010
             84	   6.81862e-010
           84.5	  6.160376e-010
             85	   6.18761e-010
           85.5	  5.902186e-010
             86	  5.345567e-010
           86.5	  5.489513e-010
             87	  6.125119e-010
           87.5	  6.495657e-010
             88	  6.204661e-010
           88.5	  5.545306e-010
             89	   5.45772e-010
           89.5	  5.976002e-010
             90	  6.454108e-010
           90.5	  5.804967e-010
             91	  5.290585e-010
           91.5	  5.038854e-010
             92	  4.810695e-010
           92.5	  4.531082e-010
             93	  5.330513e-010
           93.5	  5.429717e-010
             94	  5.684049e-010
           94.5	  6.095723e-010
             95	  5.860497e-010
           95.5	  6.122168e-010
             96	  5.553608e-010
           96.5	  5.291795e-010
             97	  5.365014e-010
           97.5	  5.036843e-010
             98	  5.355848e-010
           98.5	  5.476761e-010
             99	  5.106596e-010
           99.5	  5.220423e-010
            100	  4.534095e-010
          100.5	  4.838764e-010
            101	  4.637385e-010
          101.5	  3.760916e-010
            102	  3.828028e-010
          102.5	  4.270727e-010
            103	  5.235594e-010
          103.5	  4.846337e-010
            104	  5.590073e-010
          104.5	  5.896763e-010
            105	  5.182742e-010
          105.5	  4.471449e-010
            106	  4.495776e-010
          106.5	  4.604263e-010
            107	  4.483381e-010
          107.5	  4.628762e-010
            108	  4.286869e-010
          108.5	  5.255924e-010
            109	  5.066201e-010
          109.5	  4.943814e-010
            110	  5.330961e-010
          110.5	   5.57734e-010
            111	   5.04972e-010
          111.5	  5.757577e-010
            112	  6.571381e-010
          112.5	  6.076106e-010
            113	   6.32516e-010
          113.5	  7.043338e-010
            114	  6.808722e-010
          114.5	  8.965666e-010
            115	   8.91721e-010
          115.5	  8.194263e-010
            116	  8.960647e-010
          116.5	  8.828282e-010
            117	  7.845173e-010
          117.5	  8.018399e-010
            118	  8.496781e-010
          118.5	  9.422583e-010
            119	  8.414356e-010
          119.5	  7.379902e-010
