Sig Name	G1, 1
Format	Mag	Scaling	EUrms
Chan	1
Chan Name	I1

Hz	in/s
              0	              0
            0.5	  1.950925e-005
              1	  4.469682e-007
            1.5	  2.582481e-007
              2	  1.640852e-007
            2.5	  1.102734e-007
              3	  8.432576e-008
            3.5	  6.394794e-008
              4	  5.670024e-008
            4.5	  4.522207e-008
              5	  3.594625e-008
            5.5	  2.998863e-008
              6	  2.896882e-008
            6.5	  2.772307e-008
              7	  2.386288e-008
            7.5	  2.220161e-008
              8	  2.165256e-008
            8.5	  2.064013e-008
              9	  1.605026e-008
            9.5	  1.508337e-008
             10	  1.218619e-008
           10.5	  1.205343e-008
             11	  1.178176e-008
           11.5	  1.011955e-008
             12	  9.018648e-009
           12.5	  8.937324e-009
             13	   8.48697e-009
           13.5	  8.622487e-009
             14	  7.937343e-009
           14.5	  7.798403e-009
             15	  6.815285e-009
           15.5	  7.308954e-009
             16	   6.84086e-009
           16.5	  6.693082e-009
             17	   6.30364e-009
           17.5	  5.699069e-009
             18	   6.00973e-009
           18.5	   5.84152e-009
             19	  5.343121e-009
           19.5	   4.96633e-009
             20	  5.101122e-009
           20.5	  4.433335e-009
             21	  4.080055e-009
           21.5	  4.692232e-009
             22	  4.668465e-009
           22.5	  4.785983e-009
             23	   4.24805e-009
           23.5	  3.599086e-009
             24	  3.215689e-009
           24.5	  2.845287e-009
             25	  3.952012e-009
           25.5	  4.148253e-009
             26	  3.968662e-009
           26.5	  3.259338e-009
             27	  2.580321e-009
           27.5	  2.800763e-009
             28	  3.205492e-009
           28.5	  3.055563e-009
             29	  2.941019e-009
           29.5	  2.727267e-009
             30	  2.621787e-009
           30.5	  2.690235e-009
             31	  2.649996e-009
           31.5	  2.625484e-009
             32	  2.517866e-009
           32.5	  2.183677e-009
             33	  2.221057e-009
           33.5	  2.433443e-009
             34	  2.201765e-009
           34.5	  2.045812e-009
             35	  2.013923e-009
           35.5	  2.052307e-009
             36	   1.89024e-009
           36.5	  1.813767e-009
             37	  2.002887e-009
           37.5	  2.090034e-009
             38	  2.197093e-009
           38.5	  1.936545e-009
             39	  1.815445e-009
           39.5	  1.817179e-009
             40	  1.790151e-009
           40.5	  1.690797e-009
             41	  1.579349e-009
           41.5	  1.697006e-009
             42	  1.640783e-009
           42.5	  1.726332e-009
             43	  1.823832e-009
           43.5	  1.917119e-009
             44	  1.866688e-009
           44.5	  1.658888e-009
             45	  1.620865e-009
           45.5	  1.700594e-009
             46	  1.516936e-009
           46.5	  1.419667e-009
             47	  1.458451e-009
           47.5	   1.43551e-009
             48	  1.299424e-009
           48.5	  1.417363e-009
             49	  1.392143e-009
           49.5	  1.422765e-009
             50	  1.378032e-009
           50.5	  1.341702e-009
             51	  1.502764e-009
           51.5	   1.49653e-009
             52	  1.313672e-009
           52.5	  1.387033e-009
             53	  1.349458e-009
           53.5	  1.191186e-009
             54	  1.026205e-009
           54.5	  1.016011e-009
             55	  1.058363e-009
           55.5	  1.129636e-009
             56	  1.285344e-009
           56.5	  1.440465e-009
             57	  1.252852e-009
           57.5	  1.049421e-009
             58	  1.099785e-009
           58.5	  1.031701e-009
             59	  1.090835e-009
           59.5	  1.115072e-009
             60	  1.054045e-009
           60.5	  9.457269e-010
             61	  8.307471e-010
           61.5	  1.089355e-009
             62	  1.040958e-009
           62.5	   1.08327e-009
             63	  1.096052e-009
           63.5	  9.765266e-010
             64	  8.204805e-010
           64.5	  8.576498e-010
             65	  1.027641e-009
           65.5	  1.051831e-009
             66	  9.063389e-010
           66.5	  8.114763e-010
             67	  8.984093e-010
           67.5	  8.697268e-010
             68	  7.385473e-010
           68.5	  8.043078e-010
             69	  8.845916e-010
           69.5	  7.632058e-010
             70	  7.558639e-010
           70.5	  7.844936e-010
             71	  7.690681e-010
           71.5	  7.323561e-010
             72	  6.589747e-010
           72.5	   7.84139e-010
             73	  8.186797e-010
           73.5	  7.384132e-010
             74	  7.037961e-010
           74.5	  7.089805e-010
             75	  8.253922e-010
           75.5	  8.184863e-010
             76	   7.45897e-010
           76.5	  7.367819e-010
             77	  7.358155e-010
           77.5	  6.822844e-010
             78	  6.802834e-010
           78.5	  6.717661e-010
             79	  7.138632e-010
           79.5	  6.483762e-010
             80	  7.108191e-010
           80.5	  7.645474e-010
             81	  7.035927e-010
           81.5	  6.517923e-010
             82	  7.152093e-010
           82.5	  6.720392e-010
             83	  6.070411e-010
           83.5	  6.295157e-010
             84	  6.281043e-010
           84.5	  5.549973e-010
             85	  5.935323e-010
           85.5	  6.105937e-010
             86	  5.597122e-010
           86.5	   5.74083e-010
             87	   6.01749e-010
           87.5	  6.313128e-010
             88	  6.192041e-010
           88.5	  6.487779e-010
             89	  5.495503e-010
           89.5	  5.181287e-010
             90	  5.628326e-010
           90.5	  4.693631e-010
             91	  5.781613e-010
           91.5	  6.606271e-010
             92	  6.426436e-010
           92.5	  6.629623e-010
             93	  7.121337e-010
           93.5	  6.794679e-010
             94	  6.568862e-010
           94.5	  6.518396e-010
             95	  6.932185e-010
           95.5	  5.968268e-010
             96	  6.413833e-010
           96.5	  6.937875e-010
             97	  7.404116e-010
           97.5	   6.89824e-010
             98	  7.351951e-010
           98.5	  7.286658e-010
             99	  7.223968e-010
           99.5	  7.554851e-010
            100	    8.8191e-010
          100.5	  8.290826e-010
            101	  8.404913e-010
          101.5	  9.202217e-010
            102	  8.867747e-010
          102.5	  9.793959e-010
            103	  9.133176e-010
          103.5	  8.910154e-010
            104	  9.729179e-010
          104.5	   8.86853e-010
            105	  8.360279e-010
          105.5	   8.71076e-010
            106	  9.385265e-010
          106.5	    8.5564e-010
            107	  8.556244e-010
          107.5	  8.678199e-010
            108	  7.125115e-010
          108.5	  8.585253e-010
            109	  8.771562e-010
          109.5	  7.741795e-010
            110	  7.327106e-010
          110.5	  7.516698e-010
            111	  6.749897e-010
          111.5	  6.104677e-010
            112	  5.188686e-010
          112.5	   5.23047e-010
            113	  5.313143e-010
          113.5	  5.229383e-010
            114	  5.417767e-010
          114.5	  4.996965e-010
            115	  4.563863e-010
          115.5	   4.22922e-010
            116	  4.794642e-010
          116.5	  5.084467e-010
            117	  4.694679e-010
          117.5	  4.728581e-010
            118	  4.626227e-010
          118.5	  4.091027e-010
            119	  4.264427e-010
          119.5	   4.56862e-010
