Sig Name	G1, 1
Format	Mag	Scaling	EUrms
Chan	1
Chan Name	I1
Point	0 -Z
Ref Point	0 -Z

Hz	in/s
              0	              0
            0.5	  2.078747e-005
              1	  5.147896e-007
            1.5	  2.321414e-007
              2	   1.50421e-007
            2.5	  1.090526e-007
              3	  7.816341e-008
            3.5	  6.801147e-008
              4	  6.001417e-008
            4.5	  5.005133e-008
              5	  4.278677e-008
            5.5	  3.712395e-008
              6	  3.450051e-008
            6.5	  2.603129e-008
              7	  2.518664e-008
            7.5	   2.44796e-008
              8	  2.042002e-008
            8.5	  1.971959e-008
              9	  1.548226e-008
            9.5	  1.543855e-008
             10	  1.439217e-008
           10.5	  1.412051e-008
             11	   1.36312e-008
           11.5	  1.173712e-008
             12	  1.042838e-008
           12.5	  1.019991e-008
             13	  8.940821e-009
           13.5	  8.518414e-009
             14	  8.319019e-009
           14.5	  8.923574e-009
             15	  7.453737e-009
           15.5	  5.934192e-009
             16	  5.818201e-009
           16.5	  6.482554e-009
             17	  6.454506e-009
           17.5	   5.40981e-009
             18	  5.299365e-009
           18.5	  5.669835e-009
             19	    5.9137e-009
           19.5	  4.689513e-009
             20	  5.190364e-009
           20.5	  5.332035e-009
             21	  4.519896e-009
           21.5	  3.829751e-009
             22	  4.032768e-009
           22.5	  4.053632e-009
             23	  4.107063e-009
           23.5	  3.953969e-009
             24	   3.08827e-009
           24.5	  3.176363e-009
             25	  3.663906e-009
           25.5	  3.830658e-009
             26	   3.34344e-009
           26.5	  3.091868e-009
             27	  3.062101e-009
           27.5	  3.324039e-009
             28	  2.864526e-009
           28.5	  2.823681e-009
             29	  3.048597e-009
           29.5	  3.050435e-009
             30	  2.769982e-009
           30.5	  2.737423e-009
             31	  2.818068e-009
           31.5	  2.909718e-009
             32	   2.48753e-009
           32.5	  2.535332e-009
             33	  2.424462e-009
           33.5	  2.724059e-009
             34	  2.842767e-009
           34.5	  2.510618e-009
             35	  2.575519e-009
           35.5	  2.554889e-009
             36	  2.042898e-009
           36.5	   2.04865e-009
             37	  1.816426e-009
           37.5	  1.808811e-009
             38	  1.835043e-009
           38.5	  1.877047e-009
             39	  1.986399e-009
           39.5	  1.754219e-009
             40	  1.633671e-009
           40.5	  1.719825e-009
             41	  1.655364e-009
           41.5	  1.663765e-009
             42	  1.866063e-009
           42.5	  1.772818e-009
             43	  1.495169e-009
           43.5	  1.682076e-009
             44	  1.845764e-009
           44.5	  1.584356e-009
             45	  1.434093e-009
           45.5	  1.583928e-009
             46	  1.391946e-009
           46.5	  1.453101e-009
             47	  1.329598e-009
           47.5	  1.142461e-009
             48	  1.387784e-009
           48.5	   1.41526e-009
             49	  1.409076e-009
           49.5	  1.296799e-009
             50	   1.47599e-009
           50.5	  1.483754e-009
             51	  1.389834e-009
           51.5	   1.29026e-009
             52	   1.24085e-009
           52.5	  1.301515e-009
             53	  1.153244e-009
           53.5	  9.576353e-010
             54	  1.056609e-009
           54.5	  1.267974e-009
             55	  1.131828e-009
           55.5	  1.218353e-009
             56	   1.16152e-009
           56.5	  1.163377e-009
             57	  1.085116e-009
           57.5	  1.044604e-009
             58	  9.810038e-010
           58.5	  1.069144e-009
             59	  9.721951e-010
           59.5	  1.133564e-009
             60	  1.670067e-009
           60.5	  1.248443e-009
             61	  1.061808e-009
           61.5	  8.795376e-010
             62	  8.782949e-010
           62.5	  1.036233e-009
             63	  9.061582e-010
           63.5	  8.992022e-010
             64	  8.826958e-010
           64.5	   8.76606e-010
             65	  8.271555e-010
           65.5	  8.711913e-010
             66	  9.139305e-010
           66.5	  8.576524e-010
             67	  8.862604e-010
           67.5	  8.512807e-010
             68	  7.460846e-010
           68.5	   7.45182e-010
             69	  7.122556e-010
           69.5	  8.724873e-010
             70	  8.732481e-010
           70.5	  7.794196e-010
             71	  7.789993e-010
           71.5	  7.312415e-010
             72	  6.660506e-010
           72.5	  7.267737e-010
             73	  6.509903e-010
           73.5	   7.23928e-010
             74	  8.220912e-010
           74.5	   7.09535e-010
             75	  7.130307e-010
           75.5	  6.977433e-010
             76	   6.76454e-010
           76.5	  7.330458e-010
             77	  6.763024e-010
           77.5	  7.644095e-010
             78	  7.696501e-010
           78.5	  7.409945e-010
             79	  6.806292e-010
           79.5	  6.537542e-010
             80	  6.241955e-010
           80.5	  6.978957e-010
             81	  6.878825e-010
           81.5	  6.189381e-010
             82	  6.050461e-010
           82.5	   5.66124e-010
             83	   6.71131e-010
           83.5	  7.147161e-010
             84	   5.85141e-010
           84.5	  5.968654e-010
             85	  6.055914e-010
           85.5	  5.517839e-010
             86	  5.526978e-010
           86.5	  5.723476e-010
             87	  5.474086e-010
           87.5	  5.562374e-010
             88	  6.263164e-010
           88.5	  5.562839e-010
             89	  5.735681e-010
           89.5	  5.489345e-010
             90	  5.523427e-010
           90.5	  5.180967e-010
             91	  5.002885e-010
           91.5	  5.497598e-010
             92	  5.670936e-010
           92.5	  5.888141e-010
             93	  5.628296e-010
           93.5	  5.611854e-010
             94	  5.368525e-010
           94.5	  5.399199e-010
             95	  4.976342e-010
           95.5	   4.58706e-010
             96	  4.717014e-010
           96.5	  5.518885e-010
             97	  5.142562e-010
           97.5	  4.945673e-010
             98	  5.252241e-010
           98.5	  5.014194e-010
             99	  5.126466e-010
           99.5	   5.35221e-010
            100	  5.308524e-010
          100.5	  5.104062e-010
            101	  5.083456e-010
          101.5	  4.733336e-010
            102	  4.643704e-010
          102.5	  4.509685e-010
            103	  4.527591e-010
          103.5	  4.768991e-010
            104	  5.292458e-010
          104.5	  5.352832e-010
            105	  5.318876e-010
          105.5	  5.128058e-010
            106	  5.836431e-010
          106.5	  5.232955e-010
            107	   5.80795e-010
          107.5	    5.6948e-010
            108	  5.181302e-010
          108.5	  5.280528e-010
            109	  5.970641e-010
          109.5	  6.032694e-010
            110	  5.324917e-010
          110.5	  4.891104e-010
            111	  4.971095e-010
          111.5	  5.442169e-010
            112	  6.147006e-010
          112.5	  6.970294e-010
            113	  7.253477e-010
          113.5	  5.804485e-010
            114	  6.263982e-010
          114.5	  7.109131e-010
            115	  7.291982e-010
          115.5	  7.298538e-010
            116	  7.810023e-010
          116.5	  7.288377e-010
            117	  7.783828e-010
          117.5	  7.718533e-010
            118	  7.075939e-010
          118.5	  8.163517e-010
            119	  8.073622e-010
