Sig Name	G1, 1
Format	Mag	Scaling	EUrms
Chan	1
Chan Name	I1
Point	0 -Z
Ref Point	0 -Z

Hz	in/s
              0	              0
            0.5	   2.46446e-005
              1	  4.537754e-007
            1.5	  2.599148e-007
              2	   1.53293e-007
            2.5	  9.284226e-008
              3	  8.157888e-008
            3.5	  6.810669e-008
              4	  4.915531e-008
            4.5	  4.175493e-008
              5	  3.762093e-008
            5.5	  3.517498e-008
              6	  2.945803e-008
            6.5	  2.743407e-008
              7	  2.502719e-008
            7.5	  2.307134e-008
              8	  2.119577e-008
            8.5	  1.868461e-008
              9	  1.474438e-008
            9.5	  1.338317e-008
             10	  1.502941e-008
           10.5	  1.380133e-008
             11	  1.111886e-008
           11.5	  9.346597e-009
             12	  1.033729e-008
           12.5	  1.119383e-008
             13	  1.103396e-008
           13.5	  8.150079e-009
             14	  7.737152e-009
           14.5	  8.445512e-009
             15	   7.34661e-009
           15.5	  7.078334e-009
             16	  6.659568e-009
           16.5	  6.590311e-009
             17	  5.802735e-009
           17.5	  5.552665e-009
             18	  5.624184e-009
           18.5	  5.366152e-009
             19	  5.456982e-009
           19.5	  5.214612e-009
             20	  4.522454e-009
           20.5	  4.914389e-009
             21	  4.382393e-009
           21.5	    3.9902e-009
             22	  3.675545e-009
           22.5	  3.341669e-009
             23	   3.63867e-009
           23.5	  3.783416e-009
             24	  3.469973e-009
           24.5	  3.544097e-009
             25	  3.243988e-009
           25.5	  3.124902e-009
             26	  3.069723e-009
           26.5	  3.145431e-009
             27	  3.077917e-009
           27.5	  3.352631e-009
             28	  3.148138e-009
           28.5	  2.920731e-009
             29	  2.525713e-009
           29.5	  2.554993e-009
             30	  2.547072e-009
           30.5	  2.552661e-009
             31	  2.333746e-009
           31.5	   2.64758e-009
             32	  2.824362e-009
           32.5	  2.668136e-009
             33	  2.295373e-009
           33.5	  2.405048e-009
             34	  2.436685e-009
           34.5	  2.009447e-009
             35	  2.112389e-009
           35.5	  2.225708e-009
             36	  1.999049e-009
           36.5	   2.29739e-009
             37	  2.091844e-009
           37.5	  1.918068e-009
             38	  2.184826e-009
           38.5	  2.053237e-009
             39	  1.986139e-009
           39.5	  1.784823e-009
             40	  1.985571e-009
           40.5	    1.9828e-009
             41	   2.00576e-009
           41.5	   1.84085e-009
             42	  1.555369e-009
           42.5	  1.385192e-009
             43	  1.635493e-009
           43.5	  1.582016e-009
             44	  1.438882e-009
           44.5	  1.343373e-009
             45	  1.447619e-009
           45.5	  1.753596e-009
             46	  1.487452e-009
           46.5	  1.352502e-009
             47	  1.474839e-009
           47.5	  1.463492e-009
             48	  1.363862e-009
           48.5	   1.23285e-009
             49	  1.467629e-009
           49.5	  1.359227e-009
             50	  1.254221e-009
           50.5	  1.233921e-009
             51	  1.208254e-009
           51.5	  1.065379e-009
             52	   1.07973e-009
           52.5	  1.131023e-009
             53	  9.765336e-010
           53.5	  1.196173e-009
             54	  1.206619e-009
           54.5	  1.171807e-009
             55	  1.265833e-009
           55.5	  1.183129e-009
             56	  1.030801e-009
           56.5	  9.438598e-010
             57	  9.734763e-010
           57.5	  1.105561e-009
             58	  1.099534e-009
           58.5	  1.078838e-009
             59	  1.030114e-009
           59.5	  1.018913e-009
             60	  9.806919e-010
           60.5	  1.082823e-009
             61	  1.135034e-009
           61.5	  1.000678e-009
             62	  9.702117e-010
           62.5	   9.18301e-010
             63	  9.095594e-010
           63.5	  9.399557e-010
             64	  1.032153e-009
           64.5	  1.032845e-009
             65	  8.924103e-010
           65.5	   8.89583e-010
             66	  9.108223e-010
           66.5	  8.042627e-010
             67	  8.032028e-010
           67.5	  8.942792e-010
             68	  8.366864e-010
           68.5	  8.191803e-010
             69	  9.182455e-010
           69.5	  8.953928e-010
             70	  8.097232e-010
           70.5	  8.077516e-010
             71	  8.226219e-010
           71.5	  8.406846e-010
             72	  7.919637e-010
           72.5	  6.908448e-010
             73	  6.582063e-010
           73.5	   7.63793e-010
             74	  7.087021e-010
           74.5	   6.35987e-010
             75	  7.875524e-010
           75.5	  7.307428e-010
             76	  6.302056e-010
           76.5	   6.37106e-010
             77	   6.18205e-010
           77.5	  6.604574e-010
             78	  6.152697e-010
           78.5	  6.045336e-010
             79	  6.608084e-010
           79.5	  7.312263e-010
             80	  6.199767e-010
           80.5	  6.805432e-010
             81	  7.567552e-010
           81.5	   6.61886e-010
             82	  6.983933e-010
           82.5	  7.078079e-010
             83	  6.591418e-010
           83.5	  6.561715e-010
             84	  5.970104e-010
           84.5	   6.05208e-010
             85	  6.097631e-010
           85.5	  5.564393e-010
             86	  5.220268e-010
           86.5	  5.678091e-010
             87	  6.379679e-010
           87.5	  5.926072e-010
             88	   5.20984e-010
           88.5	  5.024624e-010
             89	  4.761843e-010
           89.5	  5.292638e-010
             90	   5.68321e-010
           90.5	  6.153568e-010
             91	  5.368109e-010
           91.5	   5.87227e-010
             92	  5.657694e-010
           92.5	  5.465728e-010
             93	  4.842112e-010
           93.5	  4.909013e-010
             94	  5.406411e-010
           94.5	  5.658394e-010
             95	  4.916263e-010
           95.5	   4.95438e-010
             96	  4.544842e-010
           96.5	  5.320845e-010
             97	  5.372262e-010
           97.5	  5.200513e-010
             98	  4.751048e-010
           98.5	  4.847792e-010
             99	  4.328848e-010
           99.5	  4.622464e-010
            100	   4.63285e-010
          100.5	  4.890693e-010
            101	  5.268701e-010
          101.5	  4.798492e-010
            102	  4.856244e-010
          102.5	  5.281129e-010
            103	  5.240308e-010
          103.5	  3.938629e-010
            104	  3.746611e-010
          104.5	  3.831821e-010
            105	  3.790479e-010
          105.5	  4.261214e-010
            106	  4.697026e-010
          106.5	   4.39777e-010
            107	  4.321689e-010
          107.5	    4.3739e-010
            108	  4.108897e-010
          108.5	  4.762393e-010
            109	  5.307426e-010
          109.5	  4.454272e-010
            110	  4.410507e-010
          110.5	   4.82932e-010
            111	  4.767653e-010
          111.5	  4.478554e-010
            112	  4.374521e-010
          112.5	  4.188402e-010
            113	  4.391908e-010
          113.5	  4.145152e-010
            114	  4.172708e-010
          114.5	  4.426743e-010
            115	  3.504156e-010
          115.5	  3.878176e-010
            116	  3.808454e-010
          116.5	  3.526794e-010
            117	  4.024986e-010
          117.5	  3.839479e-010
            118	  3.555269e-010
          118.5	  3.999536e-010
            119	   4.24982e-010
