Sig Name	G1, 1
Format	Mag	Scaling	EUrms
Chan	1
Chan Name	I1
Point	0 -Z
Ref Point	0 -Z

Hz	in/s
              0	              0
            0.5	  2.727665e-005
              1	  5.059779e-007
            1.5	  2.312501e-007
              2	  1.644698e-007
            2.5	  1.173947e-007
              3	  7.760027e-008
            3.5	  6.294675e-008
              4	  5.733364e-008
            4.5	  4.798818e-008
              5	  3.870564e-008
            5.5	  2.992859e-008
              6	  2.805664e-008
            6.5	  2.463918e-008
              7	  2.033281e-008
            7.5	  1.915651e-008
              8	  2.003815e-008
            8.5	   1.79947e-008
              9	  1.549641e-008
            9.5	  1.504242e-008
             10	  1.474385e-008
           10.5	  1.358921e-008
             11	  1.158828e-008
           11.5	  1.110028e-008
             12	  9.907227e-009
           12.5	  8.509879e-009
             13	  7.882123e-009
           13.5	  7.623115e-009
             14	  7.510335e-009
           14.5	  6.958099e-009
             15	  8.262834e-009
           15.5	  8.606791e-009
             16	  6.389599e-009
           16.5	  6.113916e-009
             17	  6.463171e-009
           17.5	  5.160439e-009
             18	  5.419185e-009
           18.5	   6.47632e-009
             19	  5.567716e-009
           19.5	  5.059759e-009
             20	  4.511978e-009
           20.5	  3.979139e-009
             21	  4.153446e-009
           21.5	  4.275905e-009
             22	  4.615552e-009
           22.5	  4.537851e-009
             23	  4.238465e-009
           23.5	  3.839669e-009
             24	  3.505565e-009
           24.5	  3.446084e-009
             25	  3.578134e-009
           25.5	  3.078169e-009
             26	  3.132662e-009
           26.5	  3.322577e-009
             27	  3.243056e-009
           27.5	  2.809185e-009
             28	  2.981372e-009
           28.5	  3.189858e-009
             29	   3.23754e-009
           29.5	  2.921485e-009
             30	  2.840088e-009
           30.5	  2.615799e-009
             31	   2.34789e-009
           31.5	   2.25005e-009
             32	  2.277277e-009
           32.5	  2.538568e-009
             33	  2.509331e-009
           33.5	  2.496922e-009
             34	  2.540635e-009
           34.5	  2.213276e-009
             35	  1.977598e-009
           35.5	  1.872764e-009
             36	  1.740617e-009
           36.5	  1.818049e-009
             37	  1.997797e-009
           37.5	   2.03782e-009
             38	   2.10941e-009
           38.5	  1.993443e-009
             39	  1.767141e-009
           39.5	  1.615564e-009
             40	  1.895071e-009
           40.5	  1.948721e-009
             41	    1.6816e-009
           41.5	  1.689362e-009
             42	  1.667116e-009
           42.5	  1.676243e-009
             43	  1.613783e-009
           43.5	  1.725387e-009
             44	  1.659285e-009
           44.5	  1.390486e-009
             45	  1.375686e-009
           45.5	  1.395746e-009
             46	  1.296218e-009
           46.5	  1.349489e-009
             47	  1.631138e-009
           47.5	  1.449884e-009
             48	  1.417747e-009
           48.5	  1.527436e-009
             49	  1.183592e-009
           49.5	  1.218425e-009
             50	  1.300676e-009
           50.5	  1.180694e-009
             51	  1.285392e-009
           51.5	  1.270152e-009
             52	  1.153869e-009
           52.5	  1.230414e-009
             53	  1.180515e-009
           53.5	  1.096699e-009
             54	   1.17235e-009
           54.5	  1.101867e-009
             55	  1.099644e-009
           55.5	    1.0511e-009
             56	  9.248829e-010
           56.5	  9.961726e-010
             57	  9.908077e-010
           57.5	  8.920359e-010
             58	  9.092844e-010
           58.5	  1.018582e-009
             59	  1.067326e-009
           59.5	   1.05817e-009
             60	  1.061453e-009
           60.5	  1.041623e-009
             61	  9.867889e-010
           61.5	  9.254966e-010
             62	  8.531163e-010
           62.5	  8.187578e-010
             63	  8.872214e-010
           63.5	  1.043221e-009
             64	  9.142417e-010
           64.5	  8.786958e-010
             65	   8.85734e-010
           65.5	  9.662848e-010
             66	  1.085812e-009
           66.5	  8.714031e-010
             67	  9.192985e-010
           67.5	  9.909352e-010
             68	  9.418238e-010
           68.5	  9.420411e-010
             69	  9.448109e-010
           69.5	  9.287158e-010
             70	  8.009466e-010
           70.5	  7.924689e-010
             71	  8.880678e-010
           71.5	  8.836643e-010
             72	  7.540397e-010
           72.5	   7.06678e-010
             73	  7.517566e-010
           73.5	  7.042855e-010
             74	   5.74052e-010
           74.5	  5.860757e-010
             75	  7.298711e-010
           75.5	  8.137085e-010
             76	  7.232465e-010
           76.5	  6.429288e-010
             77	  6.172645e-010
           77.5	  7.239961e-010
             78	  6.678283e-010
           78.5	  5.623961e-010
             79	  6.074536e-010
           79.5	  7.104913e-010
             80	  6.838403e-010
           80.5	  6.654363e-010
             81	  6.522015e-010
           81.5	  7.275706e-010
             82	   6.70171e-010
           82.5	  6.878156e-010
             83	  6.368569e-010
           83.5	  5.933197e-010
             84	  6.242004e-010
           84.5	  5.886352e-010
             85	  5.890892e-010
           85.5	  6.250457e-010
             86	  5.388768e-010
           86.5	  5.320304e-010
             87	  7.079599e-010
           87.5	  7.272009e-010
             88	   5.92202e-010
           88.5	  5.925512e-010
             89	  4.901973e-010
           89.5	   4.83366e-010
             90	  5.588045e-010
           90.5	  5.946196e-010
             91	   6.74909e-010
           91.5	  5.555399e-010
             92	  5.353539e-010
           92.5	  5.808353e-010
             93	  5.397041e-010
           93.5	  4.949509e-010
             94	  5.591372e-010
           94.5	   5.28138e-010
             95	  4.651166e-010
           95.5	  5.186349e-010
             96	  5.200873e-010
           96.5	  4.597296e-010
             97	  5.084328e-010
           97.5	  4.660469e-010
             98	  4.211726e-010
           98.5	  4.693074e-010
             99	  4.767423e-010
           99.5	   5.10961e-010
            100	   5.13682e-010
          100.5	   5.35967e-010
            101	  4.706188e-010
          101.5	  5.071453e-010
            102	  4.383613e-010
          102.5	  4.200601e-010
            103	  3.748596e-010
          103.5	  4.185008e-010
            104	  4.375718e-010
          104.5	  4.641464e-010
            105	  4.682556e-010
          105.5	  4.956628e-010
            106	  4.176055e-010
          106.5	  4.150117e-010
            107	  4.380343e-010
          107.5	  4.133277e-010
            108	  4.735813e-010
          108.5	   4.87817e-010
            109	  4.454687e-010
          109.5	  4.331169e-010
            110	  4.957496e-010
          110.5	  4.869546e-010
            111	  4.738314e-010
          111.5	  4.266484e-010
            112	  3.362393e-010
          112.5	  3.594262e-010
            113	  4.129198e-010
          113.5	  4.059131e-010
            114	  3.905612e-010
          114.5	  3.692636e-010
            115	  3.693779e-010
          115.5	  3.781505e-010
            116	  3.834892e-010
          116.5	  3.676634e-010
            117	  3.937207e-010
          117.5	  4.275084e-010
            118	  4.191014e-010
          118.5	  3.641425e-010
            119	  3.884396e-010
