Sig Name	G1, 1
Format	Mag	Scaling	EUrms
Chan	1
Chan Name	I1

Hz	in/s
              0	              0
            0.5	  2.652887e-005
              1	  5.137021e-007
            1.5	  2.304915e-007
              2	  1.591856e-007
            2.5	  1.200406e-007
              3	  9.887953e-008
            3.5	  6.792391e-008
              4	  4.856722e-008
            4.5	  3.765989e-008
              5	  3.880662e-008
            5.5	   3.43577e-008
              6	  3.174953e-008
            6.5	  2.569283e-008
              7	  2.373976e-008
            7.5	  2.409629e-008
              8	  1.975115e-008
            8.5	  1.625813e-008
              9	   1.52764e-008
            9.5	  1.527138e-008
             10	  1.570519e-008
           10.5	  1.441003e-008
             11	  1.345949e-008
           11.5	  1.098336e-008
             12	  9.352035e-009
           12.5	  1.005917e-008
             13	  1.113746e-008
           13.5	  9.518843e-009
             14	  7.875157e-009
           14.5	  7.935187e-009
             15	  6.724644e-009
           15.5	  6.000969e-009
             16	  6.071432e-009
           16.5	  5.888359e-009
             17	  5.995855e-009
           17.5	  6.011661e-009
             18	  5.531016e-009
           18.5	  5.519616e-009
             19	  5.095739e-009
           19.5	  5.417803e-009
             20	  5.193759e-009
           20.5	  4.954186e-009
             21	  3.917372e-009
           21.5	  4.418834e-009
             22	  4.300374e-009
           22.5	  3.657156e-009
             23	   3.57045e-009
           23.5	   3.55035e-009
             24	  3.966846e-009
           24.5	  4.340185e-009
             25	  3.831239e-009
           25.5	   3.52269e-009
             26	  3.907925e-009
           26.5	  3.477131e-009
             27	  3.500593e-009
           27.5	  3.517581e-009
             28	  3.031313e-009
           28.5	  2.773058e-009
             29	  2.968136e-009
           29.5	  2.849077e-009
             30	  2.476669e-009
           30.5	  2.584341e-009
             31	  2.766937e-009
           31.5	  2.591706e-009
             32	  2.453451e-009
           32.5	  2.272479e-009
             33	  2.389894e-009
           33.5	  2.235315e-009
             34	  2.226975e-009
           34.5	  2.042252e-009
             35	  2.132179e-009
           35.5	  2.376122e-009
             36	  2.291987e-009
           36.5	  2.258682e-009
             37	  1.956077e-009
           37.5	  1.673034e-009
             38	  1.742015e-009
           38.5	  1.619994e-009
             39	  1.839265e-009
           39.5	  2.086659e-009
             40	  1.936115e-009
           40.5	  1.761711e-009
             41	  1.597153e-009
           41.5	  1.625612e-009
             42	  1.616629e-009
           42.5	  1.555091e-009
             43	   1.65177e-009
           43.5	  1.548603e-009
             44	  1.721639e-009
           44.5	  1.745598e-009
             45	  1.653547e-009
           45.5	  1.613983e-009
             46	  1.453189e-009
           46.5	  1.391933e-009
             47	  1.413154e-009
           47.5	  1.496333e-009
             48	  1.508132e-009
           48.5	  1.344611e-009
             49	  1.313716e-009
           49.5	   1.27201e-009
             50	  1.263573e-009
           50.5	  1.340699e-009
             51	  1.236723e-009
           51.5	  1.303419e-009
             52	  1.200824e-009
           52.5	  1.112071e-009
             53	  1.087029e-009
           53.5	  1.182577e-009
             54	  1.191182e-009
           54.5	  1.194165e-009
             55	  1.136824e-009
           55.5	  1.012227e-009
             56	  1.011277e-009
           56.5	  1.184234e-009
             57	  1.099572e-009
           57.5	  9.379471e-010
             58	  1.064879e-009
           58.5	  1.116421e-009
             59	  1.098329e-009
           59.5	  9.516298e-010
             60	  1.014734e-009
           60.5	   1.11074e-009
             61	  1.039212e-009
           61.5	  8.738697e-010
             62	  9.249448e-010
           62.5	   9.35813e-010
             63	  1.016287e-009
           63.5	  1.055006e-009
             64	  1.027863e-009
           64.5	  9.674785e-010
             65	  8.523723e-010
           65.5	  8.924992e-010
             66	  9.520664e-010
           66.5	  8.607509e-010
             67	   8.56442e-010
           67.5	  8.767868e-010
             68	  8.075249e-010
           68.5	  7.506577e-010
             69	  8.574934e-010
           69.5	  8.608243e-010
             70	  8.976373e-010
           70.5	  7.648853e-010
             71	  7.297177e-010
           71.5	  7.748092e-010
             72	  6.435188e-010
           72.5	  6.412805e-010
             73	  6.897706e-010
           73.5	  6.045088e-010
             74	  7.366017e-010
           74.5	  7.666195e-010
             75	  6.744478e-010
           75.5	  7.003285e-010
             76	  6.737113e-010
           76.5	  7.282905e-010
             77	  7.261557e-010
           77.5	   6.75854e-010
             78	  6.825289e-010
           78.5	  7.239473e-010
             79	    7.4143e-010
           79.5	  6.215197e-010
             80	  5.719108e-010
           80.5	   5.93904e-010
             81	  6.411323e-010
           81.5	  5.974456e-010
             82	   6.77052e-010
           82.5	  7.446729e-010
             83	  6.999643e-010
           83.5	  6.271701e-010
             84	  5.962003e-010
           84.5	  6.140504e-010
             85	  6.194371e-010
           85.5	     5.692e-010
             86	   6.11234e-010
           86.5	  6.896902e-010
             87	  6.217235e-010
           87.5	  6.138225e-010
             88	  5.746028e-010
           88.5	  5.354889e-010
             89	  5.910488e-010
           89.5	   5.23648e-010
             90	  5.233484e-010
           90.5	  5.096517e-010
             91	  5.169608e-010
           91.5	  5.410714e-010
             92	  5.873282e-010
           92.5	  5.805922e-010
             93	  5.355598e-010
           93.5	  4.778055e-010
             94	  5.374762e-010
           94.5	  4.938172e-010
             95	  4.551551e-010
           95.5	  5.626605e-010
             96	  5.419331e-010
           96.5	  4.820956e-010
             97	  5.647424e-010
           97.5	  5.197249e-010
             98	  4.807335e-010
           98.5	  5.094064e-010
             99	  5.324017e-010
           99.5	  4.955967e-010
            100	  4.491413e-010
          100.5	  4.582865e-010
            101	   4.81709e-010
          101.5	  4.658351e-010
            102	  4.081415e-010
          102.5	  4.245488e-010
            103	  4.880752e-010
          103.5	  4.553208e-010
            104	  4.487608e-010
          104.5	  4.019112e-010
            105	  3.864714e-010
          105.5	  4.304521e-010
            106	  4.426694e-010
          106.5	  4.346827e-010
            107	  4.380119e-010
          107.5	  4.758274e-010
            108	  4.731269e-010
          108.5	  4.511364e-010
            109	  4.470183e-010
          109.5	   4.25389e-010
            110	  4.344125e-010
          110.5	  4.037661e-010
            111	  3.454483e-010
          111.5	  3.634072e-010
            112	  3.629698e-010
          112.5	  3.521461e-010
            113	  3.803702e-010
          113.5	  4.196621e-010
            114	  3.933827e-010
          114.5	  3.369162e-010
            115	   3.75877e-010
          115.5	  3.766553e-010
            116	  3.719154e-010
          116.5	  3.855836e-010
            117	  4.009848e-010
          117.5	  3.932698e-010
            118	  4.364527e-010
          118.5	  3.819932e-010
            119	  4.081953e-010
          119.5	  4.318756e-010
            120	  3.820892e-010
