Sig Name	G1, 1
Format	Mag	Scaling	EUrms
Chan	1
Chan Name	I1
Point	0 -Z
Ref Point	0 -Z

Hz	in/s
              0	              0
            0.5	  1.114952e-005
              1	  4.309814e-007
            1.5	  2.266823e-007
              2	  1.638415e-007
            2.5	   1.30899e-007
              3	  8.693101e-008
            3.5	  6.904803e-008
              4	  5.536947e-008
            4.5	  4.345236e-008
              5	  3.659592e-008
            5.5	  3.162056e-008
              6	  3.286912e-008
            6.5	  2.906899e-008
              7	   2.45646e-008
            7.5	   1.99957e-008
              8	  1.779313e-008
            8.5	  1.670673e-008
              9	  1.549853e-008
            9.5	   1.40024e-008
             10	  1.369438e-008
           10.5	  1.389955e-008
             11	   1.18941e-008
           11.5	  1.045259e-008
             12	  1.023572e-008
           12.5	  8.940991e-009
             13	  7.975782e-009
           13.5	  8.006118e-009
             14	  7.749414e-009
           14.5	  7.088715e-009
             15	  6.664017e-009
           15.5	  6.533377e-009
             16	  6.075796e-009
           16.5	  5.536505e-009
             17	  6.168956e-009
           17.5	  6.398988e-009
             18	  5.933337e-009
           18.5	  5.808439e-009
             19	  5.263423e-009
           19.5	  5.180017e-009
             20	  5.450763e-009
           20.5	  5.345719e-009
             21	  4.866687e-009
           21.5	  4.479664e-009
             22	  4.081358e-009
           22.5	  3.872758e-009
             23	  3.704247e-009
           23.5	  3.854894e-009
             24	  3.973629e-009
           24.5	   3.56276e-009
             25	   3.30722e-009
           25.5	  3.129581e-009
             26	  3.141909e-009
           26.5	  3.434562e-009
             27	  3.474936e-009
           27.5	  3.054968e-009
             28	  3.108044e-009
           28.5	  3.151783e-009
             29	  2.795938e-009
           29.5	   2.56057e-009
             30	  2.599491e-009
           30.5	   2.47412e-009
             31	   2.48563e-009
           31.5	  2.176992e-009
             32	  2.253975e-009
           32.5	  2.588547e-009
             33	  2.356046e-009
           33.5	  2.241367e-009
             34	  2.440183e-009
           34.5	  2.435406e-009
             35	  2.619284e-009
           35.5	   2.09704e-009
             36	  2.141765e-009
           36.5	  2.216178e-009
             37	  1.857238e-009
           37.5	  1.564399e-009
             38	   2.02773e-009
           38.5	  1.842414e-009
             39	   1.97934e-009
           39.5	  1.940094e-009
             40	  1.882919e-009
           40.5	  1.689154e-009
             41	  1.654014e-009
           41.5	  1.546806e-009
             42	  1.348873e-009
           42.5	  1.455238e-009
             43	  1.378029e-009
           43.5	  1.426709e-009
             44	  1.659509e-009
           44.5	  1.554167e-009
             45	  1.393218e-009
           45.5	  1.458811e-009
             46	  1.547829e-009
           46.5	  1.495116e-009
             47	  1.579651e-009
           47.5	   1.59576e-009
             48	  1.440624e-009
           48.5	  1.391856e-009
             49	  1.254567e-009
           49.5	  1.360509e-009
             50	   1.30603e-009
           50.5	  1.178594e-009
             51	  1.275794e-009
           51.5	  1.140584e-009
             52	   1.00707e-009
           52.5	  1.090448e-009
             53	  1.222783e-009
           53.5	  1.113701e-009
             54	  1.146346e-009
           54.5	  1.110146e-009
             55	  1.221604e-009
           55.5	  1.199931e-009
             56	  1.010957e-009
           56.5	  1.106055e-009
             57	   1.14628e-009
           57.5	  1.055308e-009
             58	  1.104394e-009
           58.5	  9.531892e-010
             59	  9.983384e-010
           59.5	  1.830708e-009
             60	  3.073284e-009
           60.5	  1.686539e-009
             61	  9.702447e-010
           61.5	  8.724349e-010
             62	  9.228607e-010
           62.5	  9.695393e-010
             63	  8.826227e-010
           63.5	   9.01329e-010
             64	  8.868451e-010
           64.5	  9.353769e-010
             65	  8.149626e-010
           65.5	  7.556765e-010
             66	  7.480793e-010
           66.5	  8.421455e-010
             67	  8.027848e-010
           67.5	  8.076153e-010
             68	  8.275355e-010
           68.5	  7.921372e-010
             69	   8.30779e-010
           69.5	  7.355384e-010
             70	  8.058421e-010
           70.5	   7.88903e-010
             71	  8.617445e-010
           71.5	  8.554295e-010
             72	   7.28801e-010
           72.5	  7.656137e-010
             73	  7.954389e-010
           73.5	  7.537329e-010
             74	  6.887928e-010
           74.5	   7.56986e-010
             75	  7.401461e-010
           75.5	  6.976323e-010
             76	  7.231905e-010
           76.5	  7.101045e-010
             77	  7.725568e-010
           77.5	  6.775777e-010
             78	  6.404403e-010
           78.5	  7.288965e-010
             79	  6.751278e-010
           79.5	  6.963479e-010
             80	  6.378523e-010
           80.5	  6.313027e-010
             81	  6.859496e-010
           81.5	  7.587717e-010
             82	  6.839562e-010
           82.5	  6.277531e-010
             83	  5.640402e-010
           83.5	  5.187507e-010
             84	  6.677044e-010
           84.5	  6.323518e-010
             85	  6.039133e-010
           85.5	  5.767868e-010
             86	  5.020304e-010
           86.5	  5.021248e-010
             87	  5.236345e-010
           87.5	  6.007712e-010
             88	  5.823733e-010
           88.5	   5.86524e-010
             89	  5.909508e-010
           89.5	  5.631057e-010
             90	  5.474606e-010
           90.5	  5.073408e-010
             91	  5.499952e-010
           91.5	  5.200175e-010
             92	  5.792262e-010
           92.5	  5.204864e-010
             93	   4.58195e-010
           93.5	  4.954215e-010
             94	  5.451308e-010
           94.5	  5.359869e-010
             95	  5.134322e-010
           95.5	  5.213074e-010
             96	  4.854812e-010
           96.5	  4.812564e-010
             97	  4.640377e-010
           97.5	  5.191261e-010
             98	  4.797978e-010
           98.5	  5.140327e-010
             99	  5.455618e-010
           99.5	  4.901063e-010
            100	   4.61063e-010
          100.5	  5.294182e-010
            101	  5.243191e-010
          101.5	  5.586737e-010
            102	  5.223996e-010
          102.5	  5.256997e-010
            103	  4.553806e-010
          103.5	  4.816464e-010
            104	  5.031632e-010
          104.5	  4.246978e-010
            105	  4.393317e-010
          105.5	  3.982054e-010
            106	  4.291111e-010
          106.5	  4.704402e-010
            107	  4.214455e-010
          107.5	  4.204981e-010
            108	  4.341532e-010
          108.5	  4.406983e-010
            109	  4.185156e-010
          109.5	  4.101616e-010
            110	  4.187752e-010
          110.5	  4.212245e-010
            111	  4.168066e-010
          111.5	  4.397149e-010
            112	  3.940876e-010
          112.5	   4.29211e-010
            113	  3.641429e-010
          113.5	  3.877055e-010
            114	  4.392953e-010
          114.5	  4.069235e-010
            115	   4.06533e-010
          115.5	  3.899467e-010
            116	  3.211506e-010
          116.5	  3.322608e-010
            117	  3.590082e-010
          117.5	  4.156345e-010
            118	  3.351057e-010
          118.5	  3.684544e-010
            119	  4.081438e-010
