Sig Name	G1, 1
Format	Mag	Scaling	EUrms
Chan	1
Chan Name	I1
Point	0 -Z
Ref Point	0 -Z

Hz	in/s
              0	              0
            0.5	  1.283364e-005
              1	  4.526973e-007
            1.5	  2.745624e-007
              2	  1.541978e-007
            2.5	  1.139612e-007
              3	  8.222407e-008
            3.5	    6.3084e-008
              4	  4.970628e-008
            4.5	  5.015241e-008
              5	  4.287564e-008
            5.5	  3.803938e-008
              6	  3.014821e-008
            6.5	  2.426993e-008
              7	  2.272041e-008
            7.5	  2.264541e-008
              8	  2.012978e-008
            8.5	  1.589871e-008
              9	  1.542741e-008
            9.5	  1.351303e-008
             10	  1.421346e-008
           10.5	  1.287759e-008
             11	   9.47553e-009
           11.5	  8.438534e-009
             12	  8.509977e-009
           12.5	   8.98831e-009
             13	  7.880676e-009
           13.5	  7.783029e-009
             14	  7.762544e-009
           14.5	  7.403279e-009
             15	  6.882627e-009
           15.5	  6.679699e-009
             16	  6.703991e-009
           16.5	  6.613619e-009
             17	  6.532512e-009
           17.5	  6.325303e-009
             18	  6.271566e-009
           18.5	  5.701777e-009
             19	  5.268449e-009
           19.5	   5.83197e-009
             20	  5.212116e-009
           20.5	  4.748303e-009
             21	  5.096306e-009
           21.5	  4.424214e-009
             22	  4.243961e-009
           22.5	   4.62083e-009
             23	  3.960199e-009
           23.5	  3.969526e-009
             24	  4.322971e-009
           24.5	  4.511294e-009
             25	  3.427922e-009
           25.5	  3.237309e-009
             26	  3.491157e-009
           26.5	  3.055548e-009
             27	  2.947862e-009
           27.5	   2.75028e-009
             28	  2.953998e-009
           28.5	  2.791291e-009
             29	  2.730505e-009
           29.5	    2.9344e-009
             30	  3.133012e-009
           30.5	  2.748253e-009
             31	  2.650058e-009
           31.5	  2.777908e-009
             32	  2.434245e-009
           32.5	  2.533772e-009
             33	  2.436953e-009
           33.5	  2.229557e-009
             34	  2.228981e-009
           34.5	  2.513268e-009
             35	  2.296939e-009
           35.5	  2.051331e-009
             36	  1.968387e-009
           36.5	  1.939142e-009
             37	  1.904458e-009
           37.5	  1.680566e-009
             38	  1.927939e-009
           38.5	  1.711776e-009
             39	  1.730543e-009
           39.5	   1.89184e-009
             40	  1.758356e-009
           40.5	  1.792338e-009
             41	  1.753547e-009
           41.5	  1.532543e-009
             42	  1.722713e-009
           42.5	  1.626558e-009
             43	  1.722219e-009
           43.5	  1.468741e-009
             44	  1.482685e-009
           44.5	  1.594059e-009
             45	  1.540699e-009
           45.5	  1.611547e-009
             46	  1.399242e-009
           46.5	  1.423018e-009
             47	  1.402485e-009
           47.5	  1.364215e-009
             48	   1.26596e-009
           48.5	  1.233284e-009
             49	  1.339892e-009
           49.5	  1.276253e-009
             50	  1.301071e-009
           50.5	  1.198762e-009
             51	  1.180726e-009
           51.5	  1.350961e-009
             52	  1.254968e-009
           52.5	  1.091384e-009
             53	  1.122159e-009
           53.5	  1.191164e-009
             54	  1.155705e-009
           54.5	  1.169497e-009
             55	  1.094293e-009
           55.5	  1.052544e-009
             56	  1.004945e-009
           56.5	  1.089575e-009
             57	  1.068591e-009
           57.5	  1.017085e-009
             58	   1.00737e-009
           58.5	  1.000179e-009
             59	  9.675842e-010
           59.5	  9.964584e-010
             60	  1.063751e-009
           60.5	  9.801524e-010
             61	   8.20762e-010
           61.5	  8.827366e-010
             62	  8.903394e-010
           62.5	  9.423906e-010
             63	  9.522397e-010
           63.5	  1.005801e-009
             64	  9.052253e-010
           64.5	  8.835203e-010
             65	  8.097581e-010
           65.5	  9.008551e-010
             66	  9.561183e-010
           66.5	  9.491404e-010
             67	  8.868307e-010
           67.5	  7.579337e-010
             68	  9.118308e-010
           68.5	  8.729831e-010
             69	  8.867485e-010
           69.5	  8.231776e-010
             70	  7.783373e-010
           70.5	    7.3329e-010
             71	  8.628984e-010
           71.5	  9.223175e-010
             72	  9.485379e-010
           72.5	  9.173423e-010
             73	  9.577413e-010
           73.5	  8.400298e-010
             74	  8.018205e-010
           74.5	  6.625078e-010
             75	  6.596326e-010
           75.5	  6.275154e-010
             76	  6.725921e-010
           76.5	  7.616189e-010
             77	  6.744393e-010
           77.5	  6.115928e-010
             78	  7.758767e-010
           78.5	  7.938681e-010
             79	  6.579612e-010
           79.5	  6.132908e-010
             80	  6.813936e-010
           80.5	  7.594634e-010
             81	  7.160877e-010
           81.5	  6.717175e-010
             82	  6.722903e-010
           82.5	  5.718004e-010
             83	  5.842788e-010
           83.5	  6.426749e-010
             84	  6.383498e-010
           84.5	  7.322418e-010
             85	  7.034923e-010
           85.5	   6.33901e-010
             86	   5.37114e-010
           86.5	  5.607709e-010
             87	  7.167421e-010
           87.5	  7.518829e-010
             88	  6.649549e-010
           88.5	  5.742183e-010
             89	  6.145043e-010
           89.5	   6.54808e-010
             90	  5.483856e-010
           90.5	  5.139232e-010
             91	  4.911836e-010
           91.5	  5.501202e-010
             92	  5.462701e-010
           92.5	  5.035737e-010
             93	  4.934645e-010
           93.5	  5.866389e-010
             94	  5.532778e-010
           94.5	  4.839029e-010
             95	  5.036565e-010
           95.5	  5.010858e-010
             96	  4.796489e-010
           96.5	  4.799898e-010
             97	  5.277711e-010
           97.5	  5.551474e-010
             98	  4.823938e-010
           98.5	  4.813437e-010
             99	  4.971991e-010
           99.5	  4.530511e-010
            100	  4.482253e-010
          100.5	   4.75987e-010
            101	  4.830097e-010
          101.5	  4.599258e-010
            102	  4.752946e-010
          102.5	  5.536459e-010
            103	  5.265762e-010
          103.5	  4.622124e-010
            104	  4.729194e-010
          104.5	  4.299688e-010
            105	  4.472141e-010
          105.5	  4.432145e-010
            106	  4.110488e-010
          106.5	  4.098485e-010
            107	  3.713558e-010
          107.5	  3.991881e-010
            108	  4.314183e-010
          108.5	  4.028743e-010
            109	  4.001189e-010
          109.5	   3.91971e-010
            110	  3.196533e-010
          110.5	  3.244406e-010
            111	  3.857435e-010
          111.5	  4.188006e-010
            112	  4.185259e-010
          112.5	  4.554465e-010
            113	  4.234324e-010
          113.5	  4.482266e-010
            114	  4.160761e-010
          114.5	  3.950484e-010
            115	  4.510063e-010
          115.5	  4.814055e-010
            116	  3.784709e-010
          116.5	  3.935746e-010
            117	  4.231321e-010
          117.5	  3.695726e-010
            118	  3.806382e-010
          118.5	  4.087929e-010
            119	  3.766185e-010
