Sig Name	G1, 1
Format	Mag	Scaling	EUrms
Chan	1
Chan Name	I1
Point	0 -Z
Ref Point	0 -Z

Hz	in/s
              0	              0
            0.5	  5.667838e-006
              1	  4.564821e-007
            1.5	  2.244416e-007
              2	  1.529748e-007
            2.5	  1.076954e-007
              3	   6.90376e-008
            3.5	  6.064616e-008
              4	  5.862244e-008
            4.5	  5.561219e-008
              5	  4.345038e-008
            5.5	  3.262503e-008
              6	  2.488574e-008
            6.5	  2.442305e-008
              7	  2.038883e-008
            7.5	  2.065119e-008
              8	  1.906173e-008
            8.5	  1.662439e-008
              9	  1.659041e-008
            9.5	   1.46098e-008
             10	  1.153594e-008
           10.5	  9.897045e-009
             11	  1.022294e-008
           11.5	  1.060111e-008
             12	  1.178721e-008
           12.5	  1.108028e-008
             13	  9.075078e-009
           13.5	  8.973691e-009
             14	  8.248905e-009
           14.5	  8.070468e-009
             15	  6.682257e-009
           15.5	   6.18129e-009
             16	  6.898635e-009
           16.5	  6.465914e-009
             17	  5.628293e-009
           17.5	  5.157075e-009
             18	  5.057737e-009
           18.5	  4.937425e-009
             19	  5.664946e-009
           19.5	   5.44394e-009
             20	  4.989805e-009
           20.5	  4.756859e-009
             21	  4.734918e-009
           21.5	  4.497926e-009
             22	  4.131116e-009
           22.5	   4.26181e-009
             23	  4.270911e-009
           23.5	   3.97891e-009
             24	  3.657714e-009
           24.5	  3.916872e-009
             25	  4.054965e-009
           25.5	  3.409904e-009
             26	  3.587903e-009
           26.5	  3.345276e-009
             27	  2.696585e-009
           27.5	  2.686324e-009
             28	  2.695322e-009
           28.5	  2.553685e-009
             29	  2.654107e-009
           29.5	  2.505547e-009
             30	  2.692093e-009
           30.5	  2.809226e-009
             31	  2.679409e-009
           31.5	   2.55448e-009
             32	  2.353556e-009
           32.5	  2.258275e-009
             33	  2.325976e-009
           33.5	  2.318957e-009
             34	  2.131228e-009
           34.5	   2.17086e-009
             35	  2.268889e-009
           35.5	  1.870836e-009
             36	  2.066218e-009
           36.5	  2.350758e-009
             37	  2.011138e-009
           37.5	  1.818141e-009
             38	  1.919967e-009
           38.5	  1.901123e-009
             39	  1.758863e-009
           39.5	  1.689153e-009
             40	   1.50019e-009
           40.5	  1.536848e-009
             41	  1.447417e-009
           41.5	  1.473352e-009
             42	   1.64538e-009
           42.5	  1.721583e-009
             43	  1.553318e-009
           43.5	  1.667881e-009
             44	  1.652468e-009
           44.5	  1.520863e-009
             45	  1.464094e-009
           45.5	   1.30697e-009
             46	  1.357199e-009
           46.5	  1.189721e-009
             47	  1.407238e-009
           47.5	  1.288157e-009
             48	  1.180972e-009
           48.5	  1.066611e-009
             49	  1.079308e-009
           49.5	  1.188564e-009
             50	   1.23394e-009
           50.5	  1.168888e-009
             51	  1.133461e-009
           51.5	   1.29224e-009
             52	  1.236424e-009
           52.5	  1.170635e-009
             53	  1.118492e-009
           53.5	  1.040608e-009
             54	  1.077707e-009
           54.5	  1.109312e-009
             55	  1.106694e-009
           55.5	   9.57555e-010
             56	  9.978643e-010
           56.5	  9.935585e-010
             57	  1.074702e-009
           57.5	  9.688171e-010
             58	  8.919724e-010
           58.5	   9.78635e-010
             59	  9.569328e-010
           59.5	  6.193517e-009
             60	  1.209251e-008
           60.5	   5.93138e-009
             61	  9.937149e-010
           61.5	  8.563389e-010
             62	  8.606322e-010
           62.5	   8.52162e-010
             63	  9.256355e-010
           63.5	  9.096414e-010
             64	   9.50518e-010
           64.5	  9.837103e-010
             65	  9.557033e-010
           65.5	  8.179136e-010
             66	  6.689537e-010
           66.5	  7.241981e-010
             67	  6.947377e-010
           67.5	  7.826996e-010
             68	  7.377852e-010
           68.5	  6.264526e-010
             69	  7.014969e-010
           69.5	   7.13741e-010
             70	  7.479488e-010
           70.5	  7.788662e-010
             71	  7.259991e-010
           71.5	  7.493537e-010
             72	  6.660872e-010
           72.5	  6.741923e-010
             73	  7.179889e-010
           73.5	    8.3483e-010
             74	  7.702673e-010
           74.5	  6.838238e-010
             75	  6.710943e-010
           75.5	  6.941791e-010
             76	  7.008762e-010
           76.5	  5.844974e-010
             77	  7.128891e-010
           77.5	  6.950306e-010
             78	  6.400251e-010
           78.5	  6.430496e-010
             79	  7.619755e-010
           79.5	  7.393117e-010
             80	    7.4949e-010
           80.5	  6.225488e-010
             81	  6.114418e-010
           81.5	   6.82977e-010
             82	  7.764881e-010
           82.5	   7.07936e-010
             83	  6.818421e-010
           83.5	  6.537347e-010
             84	  5.580503e-010
           84.5	  5.933471e-010
             85	  5.170055e-010
           85.5	  5.187096e-010
             86	  5.783101e-010
           86.5	  5.932329e-010
             87	   5.96589e-010
           87.5	  5.644351e-010
             88	  5.368708e-010
           88.5	  5.046272e-010
             89	  4.950045e-010
           89.5	  5.682445e-010
             90	  5.344216e-010
           90.5	  5.767329e-010
             91	  6.040521e-010
           91.5	  5.783759e-010
             92	  5.443895e-010
           92.5	  6.012062e-010
             93	  6.153109e-010
           93.5	  5.470094e-010
             94	  4.905107e-010
           94.5	  5.232988e-010
             95	  5.089563e-010
           95.5	  5.669211e-010
             96	  5.341339e-010
           96.5	  4.898922e-010
             97	  5.269275e-010
           97.5	  4.995196e-010
             98	  4.711473e-010
           98.5	   4.26114e-010
             99	  4.190954e-010
           99.5	   5.05243e-010
            100	  4.562068e-010
          100.5	    4.5698e-010
            101	  4.980764e-010
          101.5	  5.159563e-010
            102	  4.975436e-010
          102.5	  4.478382e-010
            103	  4.036823e-010
          103.5	  4.088965e-010
            104	  4.175839e-010
          104.5	  4.339299e-010
            105	  4.483042e-010
          105.5	  4.237702e-010
            106	  4.233702e-010
          106.5	    3.7911e-010
            107	  4.165437e-010
          107.5	  4.848075e-010
            108	  4.292249e-010
          108.5	   3.72259e-010
            109	   4.00482e-010
          109.5	  4.726581e-010
            110	  4.408665e-010
          110.5	  4.295308e-010
            111	  4.125436e-010
          111.5	  3.984653e-010
            112	    3.3669e-010
          112.5	  3.996148e-010
            113	  4.310529e-010
          113.5	  3.925925e-010
            114	  4.183236e-010
          114.5	  3.623465e-010
            115	  3.556869e-010
          115.5	  3.856036e-010
            116	  3.882341e-010
          116.5	  3.806963e-010
            117	  3.769885e-010
          117.5	  3.641084e-010
            118	  3.595147e-010
          118.5	  4.013864e-010
            119	   3.90675e-010
