Sig Name	G1, 1
Format	Mag	Scaling	EUrms
Chan	1
Chan Name	I1

Hz	in/s
              0	              0
            0.5	  1.062001e-005
              1	  4.581682e-007
            1.5	   2.28745e-007
              2	  1.594989e-007
            2.5	  1.008617e-007
              3	  7.880566e-008
            3.5	  5.930054e-008
              4	  5.260418e-008
            4.5	  4.504695e-008
              5	  4.213511e-008
            5.5	  3.289496e-008
              6	  3.099739e-008
            6.5	  2.900746e-008
              7	  2.485543e-008
            7.5	  2.004153e-008
              8	  2.130272e-008
            8.5	    2.0392e-008
              9	  1.722213e-008
            9.5	  1.607401e-008
             10	  1.415967e-008
           10.5	  1.330792e-008
             11	  1.193521e-008
           11.5	  1.048298e-008
             12	  9.478778e-009
           12.5	  8.228824e-009
             13	  8.667771e-009
           13.5	  8.881418e-009
             14	  8.842933e-009
           14.5	  7.537452e-009
             15	  6.813753e-009
           15.5	  6.562495e-009
             16	  6.857249e-009
           16.5	  6.569339e-009
             17	  6.812357e-009
           17.5	  6.162757e-009
             18	  6.424469e-009
           18.5	  6.381216e-009
             19	  5.580481e-009
           19.5	  4.668995e-009
             20	  4.079354e-009
           20.5	  3.791314e-009
             21	  3.857004e-009
           21.5	  4.358065e-009
             22	  4.487986e-009
           22.5	  4.541089e-009
             23	  4.149693e-009
           23.5	  3.630194e-009
             24	  3.725103e-009
           24.5	  3.808874e-009
             25	  3.220712e-009
           25.5	  2.981562e-009
             26	  3.030384e-009
           26.5	  2.750889e-009
             27	   2.74868e-009
           27.5	  2.687076e-009
             28	  2.655293e-009
           28.5	  2.614255e-009
             29	  2.536973e-009
           29.5	  2.766706e-009
             30	  2.639534e-009
           30.5	  2.612186e-009
             31	  3.095622e-009
           31.5	   2.70357e-009
             32	  2.246717e-009
           32.5	  2.472789e-009
             33	  2.485437e-009
           33.5	  2.450384e-009
             34	  2.402886e-009
           34.5	  2.579968e-009
             35	  2.425968e-009
           35.5	  2.117164e-009
             36	  2.014174e-009
           36.5	  1.755181e-009
             37	  2.027363e-009
           37.5	  2.134409e-009
             38	  1.855219e-009
           38.5	  1.870227e-009
             39	  1.696805e-009
           39.5	  1.696013e-009
             40	  1.734283e-009
           40.5	  1.757547e-009
             41	  1.816524e-009
           41.5	   1.81623e-009
             42	  1.921646e-009
           42.5	  1.760485e-009
             43	  1.592465e-009
           43.5	  1.427083e-009
             44	  1.585843e-009
           44.5	  1.324194e-009
             45	   1.39247e-009
           45.5	  1.351268e-009
             46	  1.539068e-009
           46.5	  1.471605e-009
             47	  1.432764e-009
           47.5	  1.462604e-009
             48	  1.447278e-009
           48.5	  1.241864e-009
             49	  1.208336e-009
           49.5	  1.245202e-009
             50	  1.289214e-009
           50.5	  1.393024e-009
             51	  1.188619e-009
           51.5	  1.063184e-009
             52	  1.171412e-009
           52.5	   1.26926e-009
             53	  1.144308e-009
           53.5	  1.058267e-009
             54	  1.098682e-009
           54.5	  1.047859e-009
             55	  1.126283e-009
           55.5	  1.104463e-009
             56	  1.090155e-009
           56.5	  1.120448e-009
             57	  1.068735e-009
           57.5	  1.039854e-009
             58	  1.013407e-009
           58.5	    1.0106e-009
             59	  9.657405e-010
           59.5	  5.127833e-009
             60	  9.500024e-009
           60.5	  4.537192e-009
             61	  8.407409e-010
           61.5	   8.98875e-010
             62	  1.014621e-009
           62.5	  9.908204e-010
             63	  9.232975e-010
           63.5	  9.810278e-010
             64	   9.06336e-010
           64.5	  8.924565e-010
             65	  7.960669e-010
           65.5	   6.72642e-010
             66	  7.631648e-010
           66.5	   8.19031e-010
             67	  8.661288e-010
           67.5	  9.876557e-010
             68	  9.202338e-010
           68.5	  7.787906e-010
             69	  7.998502e-010
           69.5	  7.721017e-010
             70	  7.504353e-010
           70.5	  7.264707e-010
             71	  7.487189e-010
           71.5	  7.031655e-010
             72	   7.46651e-010
           72.5	  8.510416e-010
             73	  7.938107e-010
           73.5	  8.009862e-010
             74	  7.495719e-010
           74.5	  7.243183e-010
             75	  7.295098e-010
           75.5	  7.423144e-010
             76	  6.909566e-010
           76.5	  6.829674e-010
             77	   6.91199e-010
           77.5	  6.523633e-010
             78	  6.737187e-010
           78.5	  6.619033e-010
             79	  6.310562e-010
           79.5	   6.23528e-010
             80	  6.598402e-010
           80.5	  6.055041e-010
             81	  7.145597e-010
           81.5	  6.897727e-010
             82	   6.36872e-010
           82.5	  6.427781e-010
             83	  6.313293e-010
           83.5	  5.829359e-010
             84	  5.070607e-010
           84.5	   5.27778e-010
             85	  5.213236e-010
           85.5	  5.332297e-010
             86	  5.812025e-010
           86.5	  6.075858e-010
             87	   6.18336e-010
           87.5	   6.21853e-010
             88	  7.034473e-010
           88.5	  6.728613e-010
             89	  6.490481e-010
           89.5	  5.100565e-010
             90	  4.607899e-010
           90.5	  4.758243e-010
             91	  5.374011e-010
           91.5	  6.238219e-010
             92	   6.04607e-010
           92.5	  5.560864e-010
             93	  5.465141e-010
           93.5	  5.906656e-010
             94	  5.165621e-010
           94.5	  4.840061e-010
             95	  4.747808e-010
           95.5	  4.830862e-010
             96	  5.281667e-010
           96.5	   6.09965e-010
             97	  5.058679e-010
           97.5	  5.019541e-010
             98	  4.965739e-010
           98.5	   4.51651e-010
             99	  4.603825e-010
           99.5	  5.071199e-010
            100	   4.59156e-010
          100.5	  4.973525e-010
            101	   4.49762e-010
          101.5	   4.01128e-010
            102	  4.399387e-010
          102.5	  4.465782e-010
            103	  5.057207e-010
          103.5	  4.587866e-010
            104	  4.578871e-010
          104.5	  4.758475e-010
            105	  4.835235e-010
          105.5	  4.733484e-010
            106	  4.945927e-010
          106.5	  4.561308e-010
            107	  4.155254e-010
          107.5	  3.650866e-010
            108	  4.483402e-010
          108.5	   4.73441e-010
            109	  3.785619e-010
          109.5	  3.573989e-010
            110	  3.968421e-010
          110.5	   4.34525e-010
            111	  4.224333e-010
          111.5	  3.732148e-010
            112	  3.528015e-010
          112.5	  4.110564e-010
            113	  4.182245e-010
          113.5	  4.533258e-010
            114	  4.239252e-010
          114.5	  3.940037e-010
            115	  3.888555e-010
          115.5	  3.969435e-010
            116	  3.650039e-010
          116.5	  4.014415e-010
            117	  4.062301e-010
          117.5	  3.263244e-010
            118	  3.397571e-010
          118.5	  3.482934e-010
            119	  3.846866e-010
          119.5	  4.095755e-010
