Hz,113NE,113NW,113SW,113M,113SE
0.0,0.0,0.0,0.0,0.0,0.0
0.5,3.302248e-05,3.55749e-05,3.533046e-05,1.652838e-05,1.998118e-05
1.0,4.765089e-07,4.874021e-07,5.146892e-07,4.365389e-07,4.468168e-07
1.5,2.524091e-07,2.529513e-07,2.141852e-07,2.47337e-07,2.133023e-07
2.0,1.505318e-07,1.443639e-07,1.327045e-07,1.609724e-07,1.39375e-07
2.5,9.65787e-08,1.058082e-07,1.120077e-07,1.222574e-07,1.1987e-07
3.0,8.666965e-08,7.928487e-08,8.72262e-08,8.240284e-08,9.011362e-08
3.5,7.020482e-08,6.76358e-08,6.591605e-08,6.447753e-08,6.414161e-08
4.0,5.495402e-08,5.507556e-08,4.983262e-08,5.751858e-08,4.844494e-08
4.5,5.448714e-08,3.905337e-08,3.777198e-08,4.821037e-08,4.159706e-08
5.0,4.979475e-08,3.366955e-08,3.858159e-08,4.07388e-08,4.254862e-08
5.5,3.331897e-08,3.049777e-08,3.429876e-08,3.285335e-08,3.766477e-08
6.0,2.657206e-08,2.910459e-08,2.638361e-08,2.892308e-08,3.190169e-08
6.5,2.426139e-08,2.476198e-08,2.256622e-08,2.72488e-08,2.138897e-08
7.0,2.407109e-08,2.231329e-08,2.211773e-08,2.333051e-08,2.148289e-08
7.5,2.162761e-08,2.066845e-08,1.794155e-08,1.949821e-08,1.863632e-08
8.0,1.86771e-08,1.75398e-08,1.5978e-08,1.908801e-08,1.759154e-08
8.5,1.768994e-08,1.806527e-08,1.553576e-08,1.762375e-08,1.669332e-08
9.0,1.59659e-08,1.656024e-08,1.742922e-08,1.634311e-08,1.638855e-08
9.5,1.382125e-08,1.326403e-08,1.902775e-08,1.408852e-08,1.642979e-08
10.0,1.412705e-08,1.414902e-08,1.585704e-08,1.232638e-08,1.425481e-08
10.5,1.178991e-08,1.451976e-08,1.1828e-08,1.307858e-08,1.476754e-08
11.0,9.909031e-09,1.160057e-08,1.106031e-08,1.215711e-08,1.241682e-08
11.5,9.349098e-09,1.093134e-08,1.10333e-08,9.897772e-09,9.767509e-09
12.0,9.764846e-09,1.018122e-08,1.036984e-08,7.987782e-09,9.232797e-09
12.5,9.509685e-09,9.627322e-09,9.430996e-09,8.018445e-09,9.54977e-09
13.0,9.456001e-09,9.931451e-09,8.544625e-09,9.877131e-09,9.042497e-09
13.5,9.359422e-09,8.823617e-09,8.827755e-09,1.059158e-08,9.031114e-09
14.0,9.191164e-09,7.723925e-09,8.728565e-09,8.073487e-09,9.056436e-09
14.5,8.950168e-09,6.871954e-09,7.433246e-09,6.293176e-09,8.085831e-09
15.0,7.750257e-09,7.101213e-09,6.944509e-09,6.17543e-09,7.519392e-09
15.5,7.041051e-09,7.112327e-09,6.985431e-09,6.650007e-09,6.940393e-09
16.0,6.048527e-09,7.082531e-09,6.031363e-09,6.792666e-09,7.145372e-09
16.5,6.019024e-09,6.606004e-09,6.024078e-09,7.223948e-09,7.046834e-09
17.0,6.164816e-09,6.165754e-09,6.706054e-09,7.080848e-09,6.208212e-09
17.5,6.257286e-09,5.572795e-09,5.828249e-09,6.294829e-09,6.007611e-09
18.0,5.892209e-09,5.149653e-09,5.475477e-09,6.334599e-09,5.535609e-09
18.5,5.986614e-09,5.103672e-09,5.536915e-09,6.086389e-09,5.884792e-09
19.0,5.575342e-09,5.603667e-09,5.218649e-09,5.690152e-09,5.699111e-09
19.5,5.246975e-09,5.891688e-09,5.44286e-09,5.556173e-09,4.858614e-09
20.0,5.125905e-09,5.603267e-09,4.759184e-09,5.302956e-09,4.930315e-09
20.5,4.494473e-09,5.561028e-09,5.14566e-09,4.445248e-09,4.969266e-09
21.0,3.954864e-09,5.775099e-09,5.518106e-09,4.324012e-09,4.692455e-09
21.5,5.03221e-09,4.891e-09,4.662351e-09,4.170893e-09,4.411385e-09
22.0,4.868001e-09,4.866237e-09,4.041214e-09,4.100076e-09,3.983716e-09
22.5,3.81863e-09,4.669924e-09,4.36761e-09,3.810861e-09,3.860566e-09
23.0,3.587975e-09,3.757392e-09,4.327844e-09,3.801739e-09,4.287223e-09
23.5,4.128256e-09,3.676339e-09,3.947895e-09,3.391393e-09,4.364826e-09
24.0,4.091465e-09,3.367877e-09,3.794409e-09,3.779542e-09,4.371889e-09
24.5,3.265345e-09,3.013736e-09,3.471043e-09,3.828477e-09,3.862795e-09
25.0,3.627117e-09,3.346148e-09,3.169637e-09,3.889582e-09,3.722577e-09
25.5,2.970355e-09,3.159017e-09,3.088231e-09,3.257028e-09,3.66887e-09
26.0,2.549209e-09,3.358381e-09,3.315449e-09,3.106658e-09,3.964939e-09
26.5,2.923568e-09,3.236185e-09,3.357691e-09,3.347355e-09,3.890048e-09
27.0,2.967228e-09,2.799543e-09,3.390421e-09,3.377348e-09,3.454951e-09
27.5,2.981482e-09,2.892211e-09,3.275562e-09,3.201715e-09,3.115506e-09
28.0,2.538675e-09,3.102941e-09,3.156189e-09,2.962044e-09,2.855061e-09
28.5,2.747328e-09,3.390741e-09,2.718689e-09,3.34137e-09,2.475401e-09
29.0,2.642294e-09,3.162512e-09,3.01432e-09,2.903478e-09,2.844797e-09
29.5,2.664389e-09,2.461564e-09,3.144497e-09,2.697025e-09,2.448162e-09
30.0,2.561503e-09,2.825619e-09,2.900617e-09,2.827124e-09,2.438016e-09
30.5,2.594991e-09,2.620955e-09,2.420417e-09,2.594161e-09,2.768449e-09
31.0,2.388377e-09,2.784365e-09,2.384263e-09,2.355781e-09,2.518215e-09
31.5,2.20743e-09,2.639415e-09,2.165401e-09,2.435712e-09,2.354969e-09
32.0,2.292933e-09,2.767596e-09,2.346711e-09,2.275608e-09,2.308683e-09
32.5,2.281682e-09,2.864742e-09,2.390316e-09,2.239287e-09,2.211206e-09
33.0,2.39175e-09,2.768532e-09,2.180499e-09,2.566223e-09,2.010305e-09
33.5,2.287227e-09,2.589984e-09,2.373187e-09,2.448819e-09,2.209844e-09
34.0,2.206496e-09,2.459448e-09,2.343125e-09,2.380229e-09,2.157647e-09
34.5,2.299442e-09,2.389127e-09,2.394538e-09,2.486252e-09,1.996898e-09
35.0,1.973982e-09,2.461438e-09,2.029751e-09,2.348948e-09,2.142501e-09
35.5,2.084165e-09,2.357406e-09,1.805857e-09,2.182446e-09,2.097913e-09
36.0,2.119932e-09,2.19914e-09,2.035688e-09,2.190162e-09,2.029561e-09
36.5,1.793164e-09,2.140292e-09,2.026464e-09,2.289851e-09,2.104242e-09
37.0,2.06506e-09,2.061895e-09,2.077152e-09,1.9914e-09,2.02043e-09
37.5,2.079747e-09,1.94796e-09,2.207417e-09,2.004005e-09,1.754492e-09
38.0,1.732231e-09,1.904083e-09,2.134346e-09,2.172615e-09,1.893069e-09
38.5,1.617141e-09,1.82493e-09,2.027312e-09,2.03257e-09,2.249838e-09
39.0,1.684481e-09,1.824196e-09,1.906875e-09,1.544955e-09,2.077286e-09
39.5,1.841472e-09,1.767969e-09,1.611668e-09,1.499907e-09,1.89121e-09
40.0,1.908149e-09,1.846796e-09,1.414818e-09,1.743276e-09,1.87043e-09
40.5,1.685248e-09,1.742913e-09,1.679396e-09,1.882412e-09,1.933524e-09
41.0,1.505954e-09,1.838526e-09,1.810739e-09,1.745458e-09,1.640002e-09
41.5,1.572122e-09,1.770859e-09,1.605168e-09,1.518454e-09,1.485699e-09
42.0,1.594808e-09,1.5974e-09,1.504306e-09,1.549014e-09,1.601622e-09
42.5,1.588483e-09,1.549762e-09,1.700896e-09,1.541025e-09,1.690463e-09
43.0,1.410344e-09,1.400752e-09,1.62459e-09,1.503036e-09,1.455915e-09
43.5,1.456752e-09,1.395357e-09,1.549756e-09,1.719856e-09,1.624141e-09
44.0,1.565838e-09,1.350482e-09,1.63799e-09,1.603161e-09,1.733603e-09
44.5,1.559839e-09,1.430449e-09,1.610496e-09,1.521033e-09,1.471622e-09
45.0,1.538209e-09,1.537517e-09,1.437638e-09,1.778626e-09,1.418099e-09
45.5,1.218602e-09,1.790207e-09,1.348547e-09,1.717397e-09,1.330773e-09
46.0,1.461518e-09,1.774401e-09,1.490452e-09,1.549583e-09,1.33408e-09
46.5,1.520276e-09,1.675298e-09,1.630216e-09,1.486809e-09,1.571466e-09
47.0,1.195149e-09,1.358556e-09,1.5095e-09,1.524546e-09,1.483854e-09
47.5,1.14416e-09,1.295358e-09,1.418713e-09,1.684186e-09,1.370765e-09
48.0,1.331605e-09,1.426e-09,1.394659e-09,1.573884e-09,1.503893e-09
48.5,1.430993e-09,1.400595e-09,1.469239e-09,1.258775e-09,1.532408e-09
49.0,1.100443e-09,1.320245e-09,1.486888e-09,1.372967e-09,1.404029e-09
49.5,1.122766e-09,1.229159e-09,1.344871e-09,1.443308e-09,1.256665e-09
50.0,1.289099e-09,1.372467e-09,1.252568e-09,1.289432e-09,1.484712e-09
50.5,1.401733e-09,1.461442e-09,1.216653e-09,1.251496e-09,1.516677e-09
51.0,1.250619e-09,1.378953e-09,1.319028e-09,1.255202e-09,1.10748e-09
51.5,1.134072e-09,1.36622e-09,1.432966e-09,1.287822e-09,1.132783e-09
52.0,1.24376e-09,1.201597e-09,1.3667e-09,1.337793e-09,1.200172e-09
52.5,1.184818e-09,1.237942e-09,1.366255e-09,1.096655e-09,1.215125e-09
53.0,1.061745e-09,1.071353e-09,1.284204e-09,1.106249e-09,1.051663e-09
