Hz,173N,173m,73mFOn,173S,173nfo
0.0,0.0,0.0,0.0,0.0,0.0
0.5,2.807007e-05,2.061726e-05,1.950925e-05,2.078747e-05,2.46446e-05
1.0,4.593572e-07,4.633166e-07,4.469682e-07,5.147896e-07,4.537754e-07
1.5,2.329793e-07,2.617442e-07,2.582481e-07,2.321414e-07,2.599148e-07
2.0,1.421754e-07,1.915269e-07,1.640852e-07,1.50421e-07,1.53293e-07
2.5,1.061735e-07,1.301148e-07,1.102734e-07,1.090526e-07,9.284226e-08
3.0,8.136093e-08,8.45767e-08,8.432576e-08,7.816341e-08,8.157888e-08
3.5,6.415845e-08,6.645449e-08,6.394794e-08,6.801147e-08,6.810669e-08
4.0,4.709053e-08,5.264961e-08,5.670024e-08,6.001417e-08,4.915531e-08
4.5,4.046407e-08,4.458098e-08,4.522207e-08,5.005133e-08,4.175493e-08
5.0,4.189242e-08,4.350311e-08,3.594625e-08,4.278677e-08,3.762093e-08
5.5,3.554004e-08,3.827521e-08,2.998863e-08,3.712395e-08,3.517498e-08
6.0,2.944443e-08,3.197916e-08,2.896882e-08,3.450051e-08,2.945803e-08
6.5,2.407683e-08,2.80765e-08,2.772307e-08,2.603129e-08,2.743407e-08
7.0,1.951657e-08,2.484518e-08,2.386288e-08,2.518664e-08,2.502719e-08
7.5,2.008783e-08,2.454963e-08,2.220161e-08,2.44796e-08,2.307134e-08
8.0,2.316108e-08,2.106226e-08,2.165256e-08,2.042002e-08,2.119577e-08
8.5,2.073246e-08,1.968141e-08,2.064013e-08,1.971959e-08,1.868461e-08
9.0,1.548523e-08,1.49944e-08,1.605026e-08,1.548226e-08,1.474438e-08
9.5,1.424458e-08,1.224093e-08,1.508337e-08,1.543855e-08,1.338317e-08
10.0,1.404263e-08,1.252159e-08,1.218619e-08,1.439217e-08,1.502941e-08
10.5,1.295112e-08,1.510734e-08,1.205343e-08,1.412051e-08,1.380133e-08
11.0,1.397562e-08,1.374406e-08,1.178176e-08,1.36312e-08,1.111886e-08
11.5,1.328748e-08,1.228329e-08,1.011955e-08,1.173712e-08,9.346597e-09
12.0,1.268669e-08,1.057584e-08,9.018648e-09,1.042838e-08,1.033729e-08
12.5,1.10934e-08,8.424178e-09,8.937324e-09,1.019991e-08,1.119383e-08
13.0,8.799633e-09,8.794331e-09,8.48697e-09,8.940821e-09,1.103396e-08
13.5,9.009351e-09,8.991279e-09,8.622487e-09,8.518414e-09,8.150079e-09
14.0,9.094903e-09,9.599994e-09,7.937343e-09,8.319019e-09,7.737152e-09
14.5,7.66655e-09,8.454935e-09,7.798403e-09,8.923574e-09,8.445512e-09
15.0,6.845201e-09,7.678452e-09,6.815285e-09,7.453737e-09,7.34661e-09
15.5,7.643638e-09,7.031697e-09,7.308954e-09,5.934192e-09,7.078334e-09
16.0,7.905605e-09,6.664749e-09,6.84086e-09,5.818201e-09,6.659568e-09
16.5,6.468647e-09,6.738316e-09,6.693082e-09,6.482554e-09,6.590311e-09
17.0,6.672556e-09,6.524001e-09,6.30364e-09,6.454506e-09,5.802735e-09
17.5,6.070426e-09,5.883865e-09,5.699069e-09,5.40981e-09,5.552665e-09
18.0,6.047096e-09,5.968865e-09,6.00973e-09,5.299365e-09,5.624184e-09
18.5,5.842773e-09,6.405324e-09,5.84152e-09,5.669835e-09,5.366152e-09
19.0,5.438553e-09,6.193873e-09,5.343121e-09,5.9137e-09,5.456982e-09
19.5,5.197595e-09,5.521632e-09,4.96633e-09,4.689513e-09,5.214612e-09
20.0,4.460988e-09,5.277064e-09,5.101122e-09,5.190364e-09,4.522454e-09
20.5,4.78125e-09,5.08264e-09,4.433335e-09,5.332035e-09,4.914389e-09
21.0,4.970532e-09,4.77222e-09,4.080055e-09,4.519896e-09,4.382393e-09
21.5,4.569531e-09,4.794423e-09,4.692232e-09,3.829751e-09,3.9902e-09
22.0,4.071359e-09,4.036388e-09,4.668465e-09,4.032768e-09,3.675545e-09
22.5,3.470375e-09,3.676526e-09,4.785983e-09,4.053632e-09,3.341669e-09
23.0,3.659917e-09,3.810266e-09,4.24805e-09,4.107063e-09,3.63867e-09
23.5,4.432759e-09,3.841464e-09,3.599086e-09,3.953969e-09,3.783416e-09
24.0,4.574341e-09,3.62085e-09,3.215689e-09,3.08827e-09,3.469973e-09
24.5,4.189251e-09,3.80414e-09,2.845287e-09,3.176363e-09,3.544097e-09
25.0,3.913709e-09,4.007905e-09,3.952012e-09,3.663906e-09,3.243988e-09
25.5,3.59448e-09,3.248974e-09,4.148253e-09,3.830658e-09,3.124902e-09
26.0,2.898741e-09,3.476492e-09,3.968662e-09,3.34344e-09,3.069723e-09
26.5,2.696201e-09,3.451013e-09,3.259338e-09,3.091868e-09,3.145431e-09
27.0,2.727652e-09,3.469188e-09,2.580321e-09,3.062101e-09,3.077917e-09
27.5,3.124202e-09,3.461644e-09,2.800763e-09,3.324039e-09,3.352631e-09
28.0,2.998902e-09,3.289604e-09,3.205492e-09,2.864526e-09,3.148138e-09
28.5,2.818329e-09,2.875229e-09,3.055563e-09,2.823681e-09,2.920731e-09
29.0,2.807537e-09,2.905753e-09,2.941019e-09,3.048597e-09,2.525713e-09
29.5,2.693327e-09,3.238515e-09,2.727267e-09,3.050435e-09,2.554993e-09
30.0,2.940218e-09,3.064371e-09,2.621787e-09,2.769982e-09,2.547072e-09
