Hz,175n,175m,175S,175Son
0.0,0.0,0.0,0.0,0.0
0.5,2.727665e-05,2.959346e-05,2.449566e-05,2.652887e-05
1.0,5.059779e-07,5.397179e-07,4.704304e-07,5.137021e-07
1.5,2.312501e-07,2.552553e-07,2.426018e-07,2.304915e-07
2.0,1.644698e-07,1.429519e-07,1.656466e-07,1.591856e-07
2.5,1.173947e-07,1.043204e-07,1.054279e-07,1.200406e-07
3.0,7.760027e-08,8.601854e-08,8.403617e-08,9.887953e-08
3.5,6.294675e-08,6.679463e-08,7.048951e-08,6.792391e-08
4.0,5.733364e-08,5.438068e-08,5.438031e-08,4.856722e-08
4.5,4.798818e-08,4.786544e-08,4.018012e-08,3.765989e-08
5.0,3.870564e-08,3.940443e-08,3.758879e-08,3.880662e-08
5.5,2.992859e-08,3.101353e-08,3.601798e-08,3.43577e-08
6.0,2.805664e-08,2.690977e-08,3.202555e-08,3.174953e-08
6.5,2.463918e-08,2.589922e-08,2.474635e-08,2.569283e-08
7.0,2.033281e-08,2.279255e-08,2.44015e-08,2.373976e-08
7.5,1.915651e-08,2.052984e-08,2.022842e-08,2.409629e-08
8.0,2.003815e-08,1.677104e-08,1.681668e-08,1.975115e-08
8.5,1.79947e-08,1.666228e-08,1.695608e-08,1.625813e-08
9.0,1.549641e-08,1.629297e-08,1.719438e-08,1.52764e-08
9.5,1.504242e-08,1.437292e-08,1.662399e-08,1.527138e-08
10.0,1.474385e-08,1.301523e-08,1.523587e-08,1.570519e-08
10.5,1.358921e-08,1.201685e-08,1.089673e-08,1.441003e-08
11.0,1.158828e-08,1.321182e-08,1.308198e-08,1.345949e-08
11.5,1.110028e-08,1.08671e-08,1.17867e-08,1.098336e-08
12.0,9.907227e-09,1.003296e-08,9.894002e-09,9.352035e-09
12.5,8.509879e-09,1.031932e-08,1.036598e-08,1.005917e-08
13.0,7.882123e-09,8.570679e-09,9.961255e-09,1.113746e-08
13.5,7.623115e-09,8.297564e-09,8.241199e-09,9.518843e-09
14.0,7.510335e-09,9.316809e-09,7.501646e-09,7.875157e-09
14.5,6.958099e-09,7.41393e-09,8.920062e-09,7.935187e-09
15.0,8.262834e-09,6.747039e-09,8.820037e-09,6.724644e-09
15.5,8.606791e-09,6.364572e-09,7.755741e-09,6.000969e-09
16.0,6.389599e-09,6.494178e-09,6.867605e-09,6.071432e-09
16.5,6.113916e-09,6.410906e-09,5.67002e-09,5.888359e-09
17.0,6.463171e-09,6.571839e-09,6.388032e-09,5.995855e-09
17.5,5.160439e-09,6.007505e-09,5.92221e-09,6.011661e-09
18.0,5.419185e-09,5.783337e-09,6.028784e-09,5.531016e-09
18.5,6.47632e-09,5.614683e-09,6.243664e-09,5.519616e-09
19.0,5.567716e-09,5.460101e-09,5.998703e-09,5.095739e-09
19.5,5.059759e-09,4.777422e-09,5.750011e-09,5.417803e-09
20.0,4.511978e-09,4.493466e-09,5.013715e-09,5.193759e-09
20.5,3.979139e-09,4.432482e-09,4.730417e-09,4.954186e-09
21.0,4.153446e-09,4.371557e-09,4.464754e-09,3.917372e-09
21.5,4.275905e-09,4.016956e-09,4.518775e-09,4.418834e-09
22.0,4.615552e-09,4.207132e-09,4.971796e-09,4.300374e-09
22.5,4.537851e-09,3.965806e-09,4.378105e-09,3.657156e-09
23.0,4.238465e-09,3.770096e-09,3.506688e-09,3.57045e-09
23.5,3.839669e-09,3.550709e-09,3.498961e-09,3.55035e-09
24.0,3.505565e-09,3.3961e-09,3.69716e-09,3.966846e-09
24.5,3.446084e-09,3.617858e-09,4.031647e-09,4.340185e-09
25.0,3.578134e-09,4.083072e-09,3.695879e-09,3.831239e-09
25.5,3.078169e-09,3.417984e-09,3.442498e-09,3.52269e-09
26.0,3.132662e-09,3.016811e-09,3.096303e-09,3.907925e-09
26.5,3.322577e-09,3.231233e-09,2.861163e-09,3.477131e-09
27.0,3.243056e-09,3.519888e-09,2.897929e-09,3.500593e-09
27.5,2.809185e-09,3.190383e-09,3.199509e-09,3.517581e-09
28.0,2.981372e-09,2.751385e-09,3.189723e-09,3.031313e-09
28.5,3.189858e-09,2.278741e-09,2.737528e-09,2.773058e-09
29.0,3.23754e-09,2.509714e-09,2.656333e-09,2.968136e-09
29.5,2.921485e-09,2.784388e-09,2.849686e-09,2.849077e-09
30.0,2.840088e-09,2.680913e-09,2.621078e-09,2.476669e-09
30.5,2.615799e-09,2.746481e-09,2.252428e-09,2.584341e-09
31.0,2.34789e-09,2.595091e-09,2.763241e-09,2.766937e-09
31.5,2.25005e-09,2.280439e-09,2.957306e-09,2.591706e-09
32.0,2.277277e-09,2.244622e-09,2.675502e-09,2.453451e-09
32.5,2.538568e-09,2.008538e-09,2.652336e-09,2.272479e-09
33.0,2.509331e-09,2.080155e-09,2.504508e-09,2.389894e-09
33.5,2.496922e-09,2.254876e-09,2.220327e-09,2.235315e-09
34.0,2.540635e-09,2.265717e-09,2.671642e-09,2.226975e-09
34.5,2.213276e-09,2.422927e-09,2.228092e-09,2.042252e-09
35.0,1.977598e-09,2.16745e-09,1.84881e-09,2.132179e-09
35.5,1.872764e-09,1.975386e-09,1.968448e-09,2.376122e-09
36.0,1.740617e-09,2.173181e-09,2.081756e-09,2.291987e-09
36.5,1.818049e-09,2.000471e-09,1.830584e-09,2.258682e-09
37.0,1.997797e-09,2.033189e-09,2.072486e-09,1.956077e-09
37.5,2.03782e-09,2.150274e-09,2.020014e-09,1.673034e-09
38.0,2.10941e-09,2.109728e-09,1.737647e-09,1.742015e-09
