Hz,180N,180m,180s,180NE
0.0,0.0,0.0,0.0,0.0
0.5,1.114952e-05,1.711585e-05,1.283364e-05,5.667838e-06
1.0,4.309814e-07,4.955355e-07,4.526973e-07,4.564821e-07
1.5,2.266823e-07,2.511367e-07,2.745624e-07,2.244416e-07
2.0,1.638415e-07,1.476951e-07,1.541978e-07,1.529748e-07
2.5,1.30899e-07,1.046261e-07,1.139612e-07,1.076954e-07
3.0,8.693101e-08,8.527861e-08,8.222407e-08,6.90376e-08
3.5,6.904803e-08,7.694517e-08,6.3084e-08,6.064616e-08
4.0,5.536947e-08,5.810852e-08,4.970628e-08,5.862244e-08
4.5,4.345236e-08,4.999746e-08,5.015241e-08,5.561219e-08
5.0,3.659592e-08,4.065589e-08,4.287564e-08,4.345038e-08
5.5,3.162056e-08,3.413927e-08,3.803938e-08,3.262503e-08
6.0,3.286912e-08,3.099408e-08,3.014821e-08,2.488574e-08
6.5,2.906899e-08,2.655487e-08,2.426993e-08,2.442305e-08
7.0,2.45646e-08,2.427189e-08,2.272041e-08,2.038883e-08
7.5,1.99957e-08,2.186515e-08,2.264541e-08,2.065119e-08
8.0,1.779313e-08,1.820774e-08,2.012978e-08,1.906173e-08
8.5,1.670673e-08,1.608845e-08,1.589871e-08,1.662439e-08
9.0,1.549853e-08,1.435197e-08,1.542741e-08,1.659041e-08
9.5,1.40024e-08,1.242437e-08,1.351303e-08,1.46098e-08
10.0,1.369438e-08,1.287674e-08,1.421346e-08,1.153594e-08
10.5,1.389955e-08,1.234268e-08,1.287759e-08,9.897045e-09
11.0,1.18941e-08,1.14364e-08,9.47553e-09,1.022294e-08
11.5,1.045259e-08,1.120065e-08,8.438534e-09,1.060111e-08
12.0,1.023572e-08,1.101412e-08,8.509977e-09,1.178721e-08
12.5,8.940991e-09,9.832383e-09,8.98831e-09,1.108028e-08
13.0,7.975782e-09,1.004261e-08,7.880676e-09,9.075078e-09
13.5,8.006118e-09,9.223284e-09,7.783029e-09,8.973691e-09
14.0,7.749414e-09,8.794637e-09,7.762544e-09,8.248905e-09
14.5,7.088715e-09,7.600941e-09,7.403279e-09,8.070468e-09
15.0,6.664017e-09,7.031765e-09,6.882627e-09,6.682257e-09
