Hz,183S,183N,183m
0.0,0.0,0.0,0.0
0.5,1.087172e-05,1.042854e-05,1.062001e-05
1.0,4.879523e-07,4.407356e-07,4.581682e-07
1.5,2.592069e-07,2.178322e-07,2.28745e-07
2.0,1.661558e-07,1.582359e-07,1.594989e-07
2.5,1.268145e-07,1.06792e-07,1.008617e-07
3.0,9.563721e-08,8.399839e-08,7.880566e-08
3.5,6.862496e-08,6.952904e-08,5.930054e-08
4.0,5.052952e-08,5.124946e-08,5.260418e-08
4.5,4.287678e-08,4.064982e-08,4.504695e-08
5.0,3.561857e-08,4.000747e-08,4.213511e-08
5.5,3.210474e-08,3.616575e-08,3.289496e-08
6.0,3.107708e-08,3.115366e-08,3.099739e-08
6.5,2.910369e-08,2.844449e-08,2.900746e-08
7.0,2.524169e-08,2.412068e-08,2.485543e-08
7.5,1.937877e-08,2.121547e-08,2.004153e-08
8.0,1.677772e-08,2.015248e-08,2.130272e-08
8.5,1.86891e-08,1.69212e-08,2.0392e-08
9.0,1.888202e-08,1.520282e-08,1.722213e-08
9.5,1.713927e-08,1.417453e-08,1.607401e-08
10.0,1.445919e-08,1.424999e-08,1.415967e-08
10.5,1.327096e-08,1.327997e-08,1.330792e-08
11.0,1.052949e-08,1.139571e-08,1.193521e-08
11.5,9.464427e-09,9.106871e-09,1.048298e-08
12.0,1.029352e-08,8.511807e-09,9.478778e-09
12.5,1.127671e-08,7.524715e-09,8.228824e-09
13.0,9.541004e-09,7.491975e-09,8.667771e-09
13.5,8.255618e-09,7.786394e-09,8.881418e-09
14.0,7.636961e-09,7.569324e-09,8.842933e-09
14.5,7.258771e-09,7.417774e-09,7.537452e-09
15.0,6.612987e-09,7.296808e-09,6.813753e-09
15.5,6.911318e-09,7.996424e-09,6.562495e-09
16.0,6.453715e-09,7.031908e-09,6.857249e-09
16.5,6.414258e-09,6.037635e-09,6.569339e-09
17.0,5.737012e-09,5.995884e-09,6.812357e-09
17.5,5.509244e-09,6.057157e-09,6.162757e-09
18.0,5.833801e-09,6.471213e-09,6.424469e-09
18.5,6.386418e-09,6.422716e-09,6.381216e-09
19.0,5.414941e-09,6.687308e-09,5.580481e-09
19.5,5.264833e-09,5.824388e-09,4.668995e-09
20.0,5.278376e-09,4.865634e-09,4.079354e-09
20.5,5.014297e-09,4.794699e-09,3.791314e-09
21.0,4.535358e-09,4.470799e-09,3.857004e-09
21.5,4.493718e-09,4.444211e-09,4.358065e-09
22.0,4.351423e-09,4.265974e-09,4.487986e-09
22.5,3.70299e-09,3.957398e-09,4.541089e-09
23.0,3.554076e-09,4.020062e-09,4.149693e-09
23.5,3.492456e-09,3.721154e-09,3.630194e-09
24.0,3.68331e-09,3.607864e-09,3.725103e-09
24.5,3.120831e-09,3.831651e-09,3.808874e-09
25.0,3.366571e-09,3.543315e-09,3.220712e-09
25.5,3.327233e-09,3.687165e-09,2.981562e-09
26.0,3.197176e-09,3.261303e-09,3.030384e-09
26.5,2.918618e-09,3.118267e-09,2.750889e-09
27.0,2.57582e-09,3.245076e-09,2.74868e-09
27.5,2.674736e-09,2.885746e-09,2.687076e-09
28.0,2.831772e-09,2.68614e-09,2.655293e-09
28.5,2.997628e-09,2.706191e-09,2.614255e-09
29.0,2.930256e-09,2.408743e-09,2.536973e-09
29.5,2.814896e-09,2.381058e-09,2.766706e-09
30.0,2.606722e-09,2.832658e-09,2.639534e-09
30.5,2.603618e-09,2.945648e-09,2.612186e-09
31.0,2.480845e-09,2.683976e-09,3.095622e-09
31.5,2.295464e-09,2.484309e-09,2.70357e-09
32.0,2.44102e-09,2.428254e-09,2.246717e-09
32.5,2.313013e-09,2.549568e-09,2.472789e-09
33.0,2.423426e-09,2.554897e-09,2.485437e-09
33.5,2.787229e-09,2.290658e-09,2.450384e-09
34.0,2.367376e-09,2.407391e-09,2.402886e-09
34.5,2.210191e-09,2.213683e-09,2.579968e-09
35.0,2.073598e-09,2.216657e-09,2.425968e-09
35.5,2.109299e-09,2.083563e-09,2.117164e-09
36.0,2.080731e-09,1.861752e-09,2.014174e-09
36.5,2.316166e-09,1.833672e-09,1.755181e-09
37.0,2.148527e-09,1.820492e-09,2.027363e-09
37.5,1.709007e-09,1.945718e-09,2.134409e-09
38.0,1.845276e-09,1.724423e-09,1.855219e-09
38.5,2.103955e-09,1.71399e-09,1.870227e-09
39.0,1.806747e-09,1.914893e-09,1.696805e-09
39.5,1.737478e-09,1.950458e-09,1.696013e-09
40.0,1.634952e-09,1.877595e-09,1.734283e-09
40.5,1.58722e-09,1.692109e-09,1.757547e-09
41.0,1.702225e-09,1.570609e-09,1.816524e-09
41.5,1.546905e-09,1.474229e-09,1.81623e-09
42.0,1.711143e-09,1.557263e-09,1.921646e-09
42.5,1.814738e-09,1.664816e-09,1.760485e-09
43.0,1.565746e-09,1.675905e-09,1.592465e-09
43.5,1.557761e-09,1.664077e-09,1.427083e-09
44.0,1.420436e-09,1.476925e-09,1.585843e-09
44.5,1.562021e-09,1.77883e-09,1.324194e-09
45.0,1.625288e-09,1.614017e-09,1.39247e-09
45.5,1.623232e-09,1.35377e-09,1.351268e-09
46.0,1.531881e-09,1.336048e-09,1.539068e-09
46.5,1.631601e-09,1.329952e-09,1.471605e-09
47.0,1.32163e-09,1.582581e-09,1.432764e-09
47.5,1.2505e-09,1.534549e-09,1.462604e-09
48.0,1.293232e-09,1.274129e-09,1.447278e-09
48.5,1.349966e-09,1.440228e-09,1.241864e-09
49.0,1.399355e-09,1.448267e-09,1.208336e-09
49.5,1.304378e-09,1.288651e-09,1.245202e-09
50.0,1.252203e-09,1.200208e-09,1.289214e-09
50.5,1.289111e-09,1.260052e-09,1.393024e-09
51.0,1.29715e-09,1.313253e-09,1.188619e-09
51.5,1.295839e-09,1.106807e-09,1.063184e-09
52.0,1.196533e-09,1.003555e-09,1.171412e-09
52.5,1.189046e-09,1.225647e-09,1.26926e-09
53.0,1.232985e-09,1.289454e-09,1.144308e-09
53.5,1.417348e-09,1.209756e-09,1.058267e-09
54.0,1.400497e-09,1.190273e-09,1.098682e-09
54.5,1.187357e-09,1.060144e-09,1.047859e-09
55.0,1.050686e-09,1.254534e-09,1.126283e-09
55.5,9.544735e-10,1.253399e-09,1.104463e-09
56.0,9.183619e-10,1.087355e-09,1.090155e-09
56.5,1.012641e-09,1.099701e-09,1.120448e-09
57.0,9.172877e-10,1.109344e-09,1.068735e-09
57.5,9.958439e-10,1.232613e-09,1.039854e-09
58.0,9.822037e-10,1.045316e-09,1.013407e-09
58.5,9.569177e-10,9.031478e-10,1.0106e-09
59.0,9.464178e-10,1.068059e-09,9.657405e-10
59.5,9.860139e-10,3.298669e-09,5.127833e-09
60.0,9.105068e-10,5.94597e-09,9.500024e-09
60.5,9.776038e-10,2.900632e-09,4.537192e-09
61.0,8.785168e-10,9.565264e-10,8.407409e-10
61.5,9.739679e-10,9.991592e-10,8.98875e-10
62.0,1.008514e-09,1.112064e-09,1.014621e-09
62.5,8.197474e-10,1.057582e-09,9.908204e-10
63.0,8.761956e-10,8.406955e-10,9.232975e-10
63.5,9.340918e-10,9.141769e-10,9.810278e-10
64.0,9.552693e-10,9.49267e-10,9.06336e-10
64.5,8.605013e-10,8.279255e-10,8.924565e-10
65.0,8.633377e-10,8.170102e-10,7.960669e-10
65.5,9.589257e-10,7.529062e-10,6.72642e-10
66.0,8.782338e-10,7.436925e-10,7.631648e-10
66.5,7.361011e-10,7.752086e-10,8.19031e-10
67.0,7.729801e-10,8.204636e-10,8.661288e-10
67.5,8.198572e-10,8.33219e-10,9.876557e-10
68.0,7.103255e-10,7.847384e-10,9.202338e-10
68.5,6.841575e-10,6.911691e-10,7.787906e-10
69.0,6.47343e-10,7.672734e-10,7.998502e-10
69.5,7.074979e-10,9.100684e-10,7.721017e-10
70.0,7.661826e-10,8.308778e-10,7.504353e-10
70.5,7.508075e-10,8.861742e-10,7.264707e-10
71.0,8.159692e-10,7.597877e-10,7.487189e-10
71.5,8.56646e-10,6.841696e-10,7.031655e-10
72.0,8.523816e-10,7.187016e-10,7.46651e-10
72.5,8.881674e-10,8.225714e-10,8.510416e-10
73.0,7.665821e-10,8.776428e-10,7.938107e-10
73.5,6.990465e-10,7.560344e-10,8.009862e-10
74.0,7.540985e-10,7.098843e-10,7.495719e-10
74.5,7.446899e-10,7.167423e-10,7.243183e-10
75.0,7.44835e-10,7.509086e-10,7.295098e-10
75.5,7.235924e-10,7.988407e-10,7.423144e-10
76.0,7.375482e-10,7.152313e-10,6.909566e-10
76.5,6.653934e-10,7.300297e-10,6.829674e-10
77.0,6.909502e-10,7.280679e-10,6.91199e-10
77.5,6.696016e-10,6.624447e-10,6.523633e-10
78.0,6.670376e-10,7.002529e-10,6.737187e-10
78.5,6.840005e-10,6.969587e-10,6.619033e-10
79.0,5.572225e-10,5.683233e-10,6.310562e-10
79.5,6.025864e-10,6.196034e-10,6.23528e-10
80.0,6.709792e-10,6.71427e-10,6.598402e-10
80.5,6.737448e-10,6.830679e-10,6.055041e-10
81.0,6.354967e-10,6.168723e-10,7.145597e-10
81.5,6.826939e-10,6.093719e-10,6.897727e-10
82.0,6.903395e-10,7.198586e-10,6.36872e-10
82.5,6.171055e-10,7.106412e-10,6.427781e-10
83.0,6.258029e-10,5.877565e-10,6.313293e-10
83.5,7.201273e-10,6.736244e-10,5.829359e-10
84.0,6.59299e-10,6.376071e-10,5.070607e-10
84.5,5.497443e-10,6.1162e-10,5.27778e-10
85.0,5.559773e-10,6.438913e-10,5.213236e-10
85.5,5.831776e-10,6.235717e-10,5.332297e-10
86.0,5.710418e-10,5.842228e-10,5.812025e-10
86.5,5.934646e-10,6.285426e-10,6.075858e-10
87.0,5.652908e-10,6.52199e-10,6.18336e-10
87.5,5.643089e-10,5.676402e-10,6.21853e-10
88.0,6.575182e-10,5.113447e-10,7.034473e-10
88.5,6.077333e-10,5.855318e-10,6.728613e-10
89.0,5.673773e-10,6.112871e-10,6.490481e-10
89.5,5.964267e-10,5.443866e-10,5.100565e-10
90.0,5.943073e-10,6.497697e-10,4.607899e-10
90.5,5.437678e-10,6.702924e-10,4.758243e-10
91.0,5.396079e-10,5.324017e-10,5.374011e-10
91.5,5.331782e-10,5.469788e-10,6.238219e-10
92.0,5.73602e-10,5.827379e-10,6.04607e-10
92.5,5.384219e-10,5.424902e-10,5.560864e-10
93.0,5.203223e-10,5.38154e-10,5.465141e-10
93.5,4.650289e-10,5.033524e-10,5.906656e-10
94.0,5.388235e-10,5.458708e-10,5.165621e-10
94.5,5.46884e-10,5.036812e-10,4.840061e-10
95.0,4.9614e-10,5.042861e-10,4.747808e-10
95.5,4.3062e-10,6.255798e-10,4.830862e-10
96.0,5.104427e-10,6.343617e-10,5.281667e-10
96.5,5.814417e-10,5.148268e-10,6.09965e-10
97.0,5.351848e-10,4.778509e-10,5.058679e-10
97.5,5.175642e-10,4.925798e-10,5.019541e-10
98.0,5.38793e-10,4.988825e-10,4.965739e-10
98.5,5.235858e-10,5.071264e-10,4.51651e-10
99.0,5.125714e-10,5.015166e-10,4.603825e-10
99.5,5.230738e-10,5.435755e-10,5.071199e-10
100.0,5.139086e-10,5.106773e-10,4.59156e-10
100.5,4.983078e-10,4.872699e-10,4.973525e-10
101.0,4.850687e-10,4.730659e-10,4.49762e-10
101.5,4.35825e-10,4.619346e-10,4.01128e-10
102.0,4.04424e-10,4.218785e-10,4.399387e-10
102.5,4.938084e-10,4.138264e-10,4.465782e-10
103.0,4.589965e-10,5.042485e-10,5.057207e-10
103.5,5.095973e-10,4.887894e-10,4.587866e-10
104.0,5.267928e-10,4.829171e-10,4.578871e-10
104.5,5.00497e-10,4.587079e-10,4.758475e-10
105.0,4.483069e-10,4.548437e-10,4.835235e-10
105.5,4.015932e-10,4.238427e-10,4.733484e-10
106.0,3.965677e-10,3.984192e-10,4.945927e-10
106.5,4.254431e-10,4.088252e-10,4.561308e-10
107.0,3.968073e-10,4.205536e-10,4.155254e-10
107.5,3.793926e-10,4.141987e-10,3.650866e-10
108.0,4.190996e-10,4.202196e-10,4.483402e-10
108.5,4.430196e-10,3.611181e-10,4.73441e-10
109.0,4.203491e-10,3.584361e-10,3.785619e-10
109.5,4.605134e-10,4.202821e-10,3.573989e-10
110.0,4.211396e-10,4.412152e-10,3.968421e-10
110.5,4.205002e-10,3.936903e-10,4.34525e-10
111.0,3.990496e-10,4.237979e-10,4.224333e-10
111.5,4.56411e-10,4.484685e-10,3.732148e-10
112.0,4.789266e-10,3.667865e-10,3.528015e-10
112.5,3.826373e-10,4.131239e-10,4.110564e-10
113.0,3.82277e-10,4.351041e-10,4.182245e-10
113.5,4.075678e-10,4.069915e-10,4.533258e-10
114.0,3.854392e-10,4.560887e-10,4.239252e-10
114.5,3.664148e-10,4.182125e-10,3.940037e-10
115.0,4.12845e-10,4.134176e-10,3.888555e-10
115.5,4.442233e-10,4.366152e-10,3.969435e-10
116.0,4.764002e-10,4.148526e-10,3.650039e-10
116.5,4.080885e-10,4.335767e-10,4.014415e-10
117.0,3.978129e-10,4.03241e-10,4.062301e-10
117.5,3.586664e-10,3.624327e-10,3.263244e-10
118.0,3.265108e-10,3.836654e-10,3.397571e-10
118.5,3.940985e-10,3.595022e-10,3.482934e-10
119.0,3.99818e-10,3.751747e-10,3.846866e-10
119.5,3.638322e-10,3.731259e-10,4.095755e-10
120.0,3.766133e-10,4.047649e-10,3.663321e-10
120.5,3.563598e-10,3.441952e-10,3.820528e-10
121.0,3.395367e-10,3.540842e-10,3.785076e-10
121.5,3.346736e-10,3.354277e-10,3.637601e-10
122.0,3.753334e-10,3.197055e-10,3.970085e-10
122.5,3.918356e-10,3.64265e-10,3.836071e-10
123.0,3.507078e-10,3.407552e-10,3.349002e-10
123.5,3.755107e-10,3.770213e-10,3.328909e-10
124.0,3.549921e-10,3.720654e-10,3.281191e-10
124.5,3.402844e-10,3.654583e-10,3.552947e-10
125.0,3.119715e-10,3.769801e-10,3.257132e-10
125.5,2.92523e-10,3.128311e-10,3.42788e-10
126.0,3.554038e-10,2.740797e-10,3.643202e-10
126.5,3.615333e-10,3.101988e-10,3.762692e-10
127.0,3.549878e-10,3.550455e-10,3.518137e-10
127.5,3.535568e-10,3.727426e-10,3.697392e-10
128.0,4.073009e-10,3.403934e-10,4.045664e-10
128.5,4.437402e-10,3.4071e-10,3.371599e-10
129.0,4.162382e-10,3.501141e-10,3.051915e-10
129.5,3.821931e-10,3.185614e-10,3.377244e-10
130.0,2.94317e-10,3.099417e-10,3.381641e-10
130.5,3.039503e-10,3.271201e-10,3.448053e-10
131.0,3.875457e-10,3.316696e-10,3.516942e-10
131.5,3.85454e-10,3.391031e-10,3.578027e-10
132.0,3.502826e-10,3.584432e-10,3.429262e-10
132.5,3.294892e-10,3.495256e-10,3.201763e-10
133.0,2.818725e-10,3.420679e-10,3.190269e-10
133.5,2.960417e-10,3.478808e-10,3.278769e-10
134.0,3.653653e-10,3.315458e-10,3.607406e-10
134.5,3.781225e-10,3.246441e-10,3.03999e-10
135.0,2.797287e-10,2.923707e-10,2.800539e-10
135.5,2.865289e-10,2.871429e-10,3.248189e-10
136.0,3.324823e-10,3.39385e-10,3.264774e-10
136.5,3.288007e-10,3.169236e-10,2.895064e-10
137.0,3.102173e-10,3.062268e-10,2.671866e-10
137.5,3.211287e-10,3.345269e-10,3.172456e-10
138.0,2.998843e-10,3.267271e-10,3.578536e-10
138.5,2.954126e-10,2.869986e-10,3.394306e-10
139.0,3.408497e-10,2.959936e-10,3.235285e-10
139.5,3.565001e-10,2.868508e-10,3.340433e-10
140.0,3.550384e-10,3.144189e-10,3.111947e-10
140.5,3.38802e-10,3.195294e-10,2.991256e-10
141.0,3.299997e-10,3.234856e-10,3.117664e-10
141.5,3.424293e-10,3.20784e-10,2.953714e-10
142.0,3.605168e-10,3.323187e-10,2.925898e-10
142.5,3.972957e-10,3.412827e-10,3.107551e-10
143.0,3.988142e-10,3.108979e-10,3.404833e-10
143.5,4.06192e-10,3.119661e-10,3.130091e-10
144.0,4.447327e-10,3.047053e-10,2.996638e-10
144.5,5.414708e-10,3.014307e-10,3.077853e-10
145.0,4.964368e-10,2.855505e-10,3.56155e-10
145.5,4.909243e-10,3.300777e-10,3.260919e-10
146.0,4.922134e-10,3.273903e-10,3.174113e-10
146.5,5.137269e-10,2.746429e-10,3.321437e-10
147.0,5.527254e-10,3.263648e-10,3.155157e-10
147.5,5.343634e-10,4.096365e-10,3.285947e-10
148.0,4.888426e-10,3.822577e-10,3.210522e-10
148.5,5.708835e-10,3.781498e-10,2.951868e-10
149.0,5.399455e-10,3.773757e-10,3.738286e-10
149.5,5.473237e-10,4.079039e-10,3.513841e-10
150.0,6.562783e-10,3.958323e-10,3.151824e-10
150.5,6.581316e-10,4.117746e-10,3.648637e-10
151.0,7.193062e-10,4.449031e-10,4.162718e-10
151.5,6.55279e-10,4.764719e-10,3.942063e-10
152.0,5.775536e-10,5.362878e-10,3.956898e-10
152.5,5.123086e-10,5.636503e-10,4.544576e-10
153.0,5.506282e-10,5.172093e-10,4.468251e-10
153.5,5.805427e-10,5.135866e-10,4.264524e-10
154.0,5.870859e-10,4.264657e-10,3.973946e-10
154.5,5.103912e-10,4.935653e-10,4.889239e-10
155.0,5.395063e-10,5.409039e-10,5.545465e-10
155.5,5.898313e-10,5.575477e-10,5.495406e-10
156.0,5.675986e-10,6.373855e-10,5.202127e-10
156.5,5.242589e-10,5.965112e-10,4.874286e-10
157.0,4.569513e-10,5.831766e-10,5.027641e-10
157.5,4.063214e-10,5.885103e-10,5.619757e-10
158.0,3.70811e-10,6.632907e-10,6.594588e-10
158.5,3.501301e-10,6.70051e-10,6.419935e-10
159.0,3.189913e-10,5.521508e-10,5.596452e-10
159.5,2.971974e-10,5.251492e-10,5.86885e-10
160.0,2.88932e-10,5.891107e-10,5.753371e-10
160.5,2.790224e-10,5.236314e-10,5.765219e-10
161.0,2.729083e-10,5.430053e-10,5.359516e-10
161.5,2.462039e-10,4.901157e-10,5.161519e-10
162.0,2.90466e-10,4.551432e-10,4.935321e-10
162.5,2.90552e-10,4.660731e-10,5.191728e-10
163.0,2.860046e-10,4.286387e-10,5.485323e-10
163.5,2.966091e-10,3.888156e-10,4.819704e-10
164.0,2.859446e-10,4.1195e-10,4.341021e-10
164.5,2.680305e-10,4.130576e-10,4.345928e-10
165.0,2.810939e-10,3.766319e-10,4.14861e-10
165.5,2.663035e-10,3.611358e-10,4.217073e-10
166.0,2.682935e-10,3.123806e-10,3.832806e-10
166.5,2.678265e-10,3.653192e-10,3.283803e-10
167.0,2.539808e-10,3.90553e-10,3.05097e-10
167.5,2.302576e-10,3.492381e-10,2.499666e-10
168.0,2.280139e-10,3.190536e-10,2.52462e-10
168.5,2.357288e-10,2.71772e-10,2.963592e-10
169.0,2.411004e-10,2.761448e-10,2.757186e-10
169.5,2.367802e-10,2.773675e-10,2.834029e-10
170.0,2.441019e-10,2.219065e-10,2.870207e-10
170.5,2.473395e-10,2.145698e-10,2.697969e-10
171.0,2.505701e-10,2.128033e-10,2.825297e-10
171.5,2.342166e-10,2.684808e-10,2.553956e-10
172.0,2.572254e-10,2.816525e-10,2.199891e-10
172.5,2.773118e-10,2.290119e-10,2.255782e-10
173.0,2.484005e-10,2.345417e-10,2.396582e-10
173.5,1.961336e-10,2.594191e-10,2.590739e-10
174.0,2.147609e-10,2.489154e-10,2.526557e-10
174.5,2.248597e-10,2.224701e-10,2.48557e-10
175.0,2.441082e-10,2.012645e-10,2.520976e-10
175.5,2.025668e-10,2.11624e-10,2.333886e-10
176.0,1.940843e-10,2.59117e-10,2.114115e-10
176.5,2.44955e-10,2.321583e-10,2.075601e-10
177.0,2.237338e-10,1.969461e-10,2.476307e-10
177.5,2.058578e-10,2.065711e-10,2.262629e-10
178.0,1.865651e-10,2.317665e-10,2.523439e-10
178.5,2.008726e-10,2.458742e-10,2.484324e-10
179.0,2.448326e-10,1.908964e-10,1.935275e-10
179.5,2.550405e-10,1.893698e-10,1.83043e-10
180.0,2.169771e-10,2.279825e-10,2.139553e-10
180.5,2.389344e-10,2.239129e-10,2.289781e-10
181.0,2.351928e-10,2.390984e-10,2.164449e-10
181.5,2.102313e-10,2.285045e-10,2.419812e-10
182.0,1.883331e-10,2.259912e-10,2.493146e-10
182.5,1.903647e-10,2.132928e-10,2.232319e-10
183.0,1.891122e-10,2.071829e-10,1.989007e-10
183.5,1.868369e-10,2.285013e-10,2.209218e-10
184.0,1.955683e-10,2.100941e-10,2.183317e-10
184.5,2.381086e-10,1.886836e-10,2.355143e-10
185.0,2.505177e-10,2.037185e-10,2.190873e-10
185.5,2.182386e-10,2.016595e-10,2.134137e-10
186.0,1.853347e-10,2.164544e-10,2.23508e-10
186.5,1.772013e-10,2.133304e-10,2.169306e-10
187.0,2.169785e-10,1.844123e-10,2.352806e-10
187.5,2.212844e-10,1.928042e-10,2.480983e-10
188.0,1.844339e-10,2.040081e-10,2.134136e-10
188.5,1.716667e-10,1.975993e-10,1.696351e-10
189.0,1.77713e-10,2.005266e-10,1.760261e-10
189.5,1.745222e-10,1.894834e-10,1.732878e-10
190.0,1.984337e-10,1.96354e-10,1.840006e-10
190.5,2.030144e-10,2.00164e-10,2.128541e-10
191.0,1.81108e-10,2.012697e-10,2.155602e-10
191.5,1.814325e-10,1.855541e-10,2.189595e-10
192.0,2.049754e-10,2.133779e-10,2.075634e-10
192.5,1.994675e-10,2.053539e-10,1.919143e-10
193.0,1.916258e-10,1.927418e-10,2.02272e-10
193.5,2.027867e-10,2.078304e-10,2.079507e-10
194.0,2.088451e-10,1.986507e-10,2.138231e-10
194.5,2.141247e-10,2.000874e-10,1.932313e-10
195.0,2.049816e-10,1.984598e-10,1.936737e-10
195.5,1.810231e-10,1.913218e-10,2.107976e-10
196.0,1.681718e-10,1.808834e-10,2.087308e-10
196.5,1.721078e-10,1.877633e-10,1.772425e-10
197.0,1.681335e-10,1.753145e-10,1.882312e-10
197.5,1.771411e-10,1.712399e-10,1.933106e-10
198.0,1.842413e-10,1.775158e-10,1.95202e-10
198.5,1.913641e-10,1.906114e-10,1.890297e-10
199.0,2.181003e-10,2.003811e-10,2.178875e-10
199.5,1.9302e-10,1.833236e-10,1.958221e-10
200.0,1.989633e-10,1.891214e-10,1.715586e-10
200.5,1.912037e-10,2.041287e-10,1.62896e-10
201.0,1.602015e-10,2.355374e-10,1.795656e-10
201.5,1.90265e-10,2.353737e-10,1.964539e-10
202.0,2.063204e-10,2.237285e-10,1.876434e-10
202.5,1.81842e-10,1.703278e-10,2.10987e-10
203.0,1.6357e-10,1.478613e-10,1.980509e-10
203.5,2.061549e-10,1.612675e-10,1.933469e-10
204.0,1.993944e-10,1.75494e-10,2.009747e-10
204.5,2.087902e-10,1.858687e-10,1.699437e-10
205.0,2.112873e-10,1.835265e-10,1.877137e-10
205.5,2.05485e-10,1.916672e-10,2.173196e-10
206.0,1.738467e-10,1.918245e-10,1.831836e-10
206.5,1.860802e-10,1.878362e-10,1.573484e-10
207.0,1.898806e-10,1.64387e-10,1.5984e-10
207.5,1.858349e-10,1.725583e-10,1.592792e-10
208.0,2.041789e-10,1.789111e-10,1.462589e-10
208.5,2.100481e-10,1.576544e-10,1.516186e-10
209.0,1.913515e-10,1.551623e-10,1.866433e-10
209.5,1.770599e-10,1.598225e-10,1.810914e-10
210.0,1.929516e-10,1.661273e-10,1.645315e-10
210.5,1.787846e-10,1.783947e-10,1.734065e-10
211.0,1.809582e-10,1.813771e-10,1.742903e-10
211.5,1.901893e-10,1.70799e-10,1.845505e-10
